time,票据推销,色情欺诈,卡贷诱骗,商务广告
206,14,0,48,1
207,75,0,22,0
208,21,0,35,1
209,72,0,26,0
210,35,0,48,0
211,50,0,46,0
212,71,0,58,0
213,68,0,81,0
214,44,0,54,0
215,37,0,129,0
216,29,0,116,0
218,20,0,80,0
219,30,0,98,0
221,55,0,115,0
222,42,0,90,0
223,38,0,83,0
224,28,0,166,0
225,63,0,123,0
226,67,0,79,0
228,99,0,141,0
229,29,0,83,0
230,41,0,76,0
231,22,0,18,0
232,59,0,63,0
233,48,0,22,0
234,21,0,43,0
235,31,0,38,0
236,64,0,22,0
237,81,0,25,0
238,43,0,50,0
239,40,0,63,0
240,42,0,15,0
241,46,0,18,0
242,55,0,0,0
245,26,0,11,0
246,22,0,4,0
247,22,0,7,0
250,15,0,0,0
253,11,0,0,0
257,15,0,0,0
258,10,0,0,0
259,21,0,0,0
261,12,0,0,0
262,4,0,0,0
263,34,0,0,0
265,4,0,0,0
267,18,0,0,0
270,8,0,0,0
