time,票据推销,色情欺诈,卡贷诱骗,商务广告
195,49,0,1,0
197,92,0,2,0
199,25,0,2,0
200,98,0,0,0
201,66,0,0,0
202,11,0,4,0
203,61,0,22,0
204,51,0,75,0
205,93,0,29,0
206,12,0,24,0
207,57,0,26,3
208,79,0,11,0
210,51,0,5,0
211,182,0,10,0
212,128,0,64,0
213,124,0,19,0
214,226,0,59,1
215,159,0,67,32
216,258,0,45,0
217,187,0,67,0
219,20,0,72,0
221,142,4,23,0
222,104,0,29,0
223,69,66,49,0
225,155,0,55,1
226,103,4,24,0
228,86,0,52,0
229,210,39,21,0
230,86,30,0,0
231,228,104,0,0
232,153,12,52,0
234,202,5,0,0
235,216,28,2,0
237,257,56,21,0
238,221,92,40,0
239,177,58,23,0
240,355,62,16,0
241,99,0,56,0
242,87,8,36,20
243,94,128,34,0
244,198,68,25,0
245,165,44,16,0
246,132,116,12,5
247,37,41,20,28
248,120,31,32,22
249,328,28,20,8
250,194,5,0,15
251,177,95,0,2
253,72,16,0,0
254,120,20,0,0
255,190,30,0,0
256,82,12,1,0
257,106,79,1,0
258,107,0,0,0
259,144,14,0,0
260,57,4,0,0
261,105,0,0,0
262,75,16,0,0
263,37,42,0,0
264,0,19,0,0
265,0,55,0,0
266,12,54,0,0
267,0,32,0,0
270,0,8,0,0
274,0,10,4,0
275,0,21,9,0
278,0,132,0,0
279,0,15,0,0
282,0,35,0,0
283,0,58,0,0
284,0,105,0,0
286,0,36,0,0
287,0,23,0,0
