time,票据推销,色情欺诈,卡贷诱骗,商务广告
87,49,0,0,0
88,72,0,0,1
89,74,3,0,0
90,76,0,0,0
91,91,0,0,0
92,47,0,0,0
93,40,0,0,0
94,39,0,0,0
95,59,0,0,0
96,67,0,0,0
97,40,0,0,0
98,54,0,0,0
99,55,0,0,0
101,93,0,0,0
102,74,0,0,0
104,36,0,0,0
105,31,0,3,1
106,18,0,0,1
107,19,0,5,1
110,22,0,0,0
111,15,0,0,1
112,14,0,2,7
116,39,0,7,0
117,39,0,116,0
118,58,0,157,0
119,20,0,124,0
120,28,0,104,0
121,13,0,52,1
123,19,0,121,0
124,81,0,66,0
125,27,0,97,5
126,15,0,83,0
127,13,0,107,0
128,5,0,75,0
129,0,0,91,0
130,4,0,69,0
131,32,0,45,0
132,10,0,115,0
133,17,0,69,0
134,18,0,13,0
135,51,0,61,0
136,16,0,36,0
137,14,0,85,0
139,32,0,136,0
140,0,0,66,0
141,8,0,93,0
143,24,0,60,0
144,44,0,53,1
147,43,0,55,4
149,51,0,87,0
151,21,0,140,1
152,22,0,85,0
154,5,0,103,4
156,0,0,110,0
157,5,0,62,14
158,0,0,39,1
