key,value,date
票据推销,6,00/03
票据推销,1,00/08
票据推销,0,00/13
票据推销,0,00/18
票据推销,0,00/23
票据推销,0,00/28
票据推销,0,00/33
票据推销,0,00/38
票据推销,0,00/43
票据推销,0,00/48
票据推销,0,00/53
票据推销,0,00/58
票据推销,0,01/03
票据推销,0,01/08
票据推销,0,01/13
票据推销,0,01/18
票据推销,0,01/23
票据推销,0,01/28
票据推销,0,01/33
票据推销,0,01/38
票据推销,0,01/43
票据推销,0,01/48
票据推销,0,01/53
票据推销,0,01/58
票据推销,0,02/03
票据推销,0,02/08
票据推销,0,02/13
票据推销,0,02/18
票据推销,0,02/23
票据推销,0,02/28
票据推销,0,02/33
票据推销,0,02/38
票据推销,0,02/43
票据推销,0,02/48
票据推销,0,02/53
票据推销,0,02/58
票据推销,0,03/03
票据推销,0,03/08
票据推销,0,03/13
票据推销,0,03/18
票据推销,0,03/23
票据推销,0,03/28
票据推销,0,03/33
票据推销,0,03/38
票据推销,0,03/43
票据推销,0,03/48
票据推销,0,03/53
票据推销,0,03/58
票据推销,0,04/03
票据推销,0,04/08
票据推销,0,04/13
票据推销,0,04/18
票据推销,0,04/23
票据推销,0,04/28
票据推销,0,04/33
票据推销,0,04/38
票据推销,0,04/43
票据推销,0,04/48
票据推销,0,04/53
票据推销,0,04/58
票据推销,0,05/03
票据推销,3,05/08
票据推销,0,05/13
票据推销,0,05/18
票据推销,0,05/23
票据推销,0,05/28
票据推销,0,05/33
票据推销,5,05/38
票据推销,0,05/43
票据推销,5,05/48
票据推销,22,05/53
票据推销,8,05/58
票据推销,5,06/03
票据推销,57,06/08
票据推销,89,06/13
票据推销,62,06/18
票据推销,66,06/23
票据推销,83,06/28
票据推销,148,06/33
票据推销,37,06/38
票据推销,52,06/43
票据推销,116,06/48
票据推销,58,06/53
票据推销,159,06/58
票据推销,146,07/03
票据推销,150,07/08
票据推销,177,07/13
票据推销,192,07/18
票据推销,290,07/23
票据推销,229,07/28
票据推销,229,07/33
票据推销,321,07/38
票据推销,253,07/43
票据推销,295,07/48
票据推销,277,07/53
票据推销,249,07/58
票据推销,293,08/03
票据推销,304,08/08
票据推销,359,08/13
票据推销,234,08/18
票据推销,327,08/23
票据推销,290,08/28
票据推销,220,08/33
票据推销,416,08/38
票据推销,310,08/43
票据推销,330,08/48
票据推销,418,08/53
票据推销,396,08/58
票据推销,512,09/03
票据推销,372,09/08
票据推销,319,09/13
票据推销,260,09/18
票据推销,381,09/23
票据推销,331,09/28
票据推销,245,09/33
票据推销,300,09/38
票据推销,321,09/43
票据推销,377,09/48
票据推销,356,09/53
票据推销,361,09/58
票据推销,355,10/03
票据推销,369,10/08
票据推销,278,10/13
票据推销,263,10/18
票据推销,254,10/23
票据推销,340,10/28
票据推销,283,10/33
票据推销,235,10/38
票据推销,258,10/43
票据推销,201,10/48
票据推销,265,10/53
票据推销,272,10/58
票据推销,230,11/03
票据推销,328,11/08
票据推销,246,11/13
票据推销,202,11/18
票据推销,210,11/23
票据推销,174,11/28
票据推销,140,11/33
票据推销,136,11/38
票据推销,152,11/43
票据推销,118,11/48
票据推销,124,11/53
票据推销,147,11/58
票据推销,86,12/03
票据推销,135,12/08
票据推销,104,12/13
票据推销,139,12/18
票据推销,161,12/23
票据推销,102,12/28
票据推销,85,12/33
票据推销,139,12/38
票据推销,135,12/43
票据推销,108,12/48
票据推销,131,12/53
票据推销,103,12/58
票据推销,174,13/03
票据推销,149,13/08
票据推销,121,13/13
票据推销,127,13/18
票据推销,112,13/23
票据推销,104,13/28
票据推销,125,13/33
票据推销,102,13/38
票据推销,111,13/43
票据推销,140,13/48
票据推销,92,13/53
票据推销,70,13/58
票据推销,53,14/03
票据推销,56,14/08
票据推销,68,14/13
票据推销,83,14/18
票据推销,116,14/23
票据推销,70,14/28
票据推销,52,14/33
票据推销,43,14/38
票据推销,76,14/43
票据推销,105,14/48
票据推销,69,14/53
票据推销,26,14/58
票据推销,52,15/03
票据推销,105,15/08
票据推销,85,15/13
票据推销,63,15/18
票据推销,79,15/23
票据推销,60,15/28
票据推销,84,15/33
票据推销,101,15/38
票据推销,119,15/43
票据推销,97,15/48
票据推销,91,15/53
票据推销,103,15/58
票据推销,151,16/03
票据推销,109,16/08
票据推销,168,16/13
票据推销,96,16/18
票据推销,141,16/23
票据推销,111,16/28
票据推销,181,16/33
票据推销,152,16/38
票据推销,179,16/43
票据推销,84,16/48
票据推销,127,16/53
票据推销,106,16/58
票据推销,105,17/03
票据推销,109,17/08
票据推销,146,17/13
票据推销,227,17/18
票据推销,176,17/23
票据推销,155,17/28
票据推销,259,17/33
票据推销,230,17/38
票据推销,267,17/43
票据推销,200,17/48
票据推销,316,17/53
