key,value,date
票据推销,0,00/03
票据推销,0,00/08
票据推销,0,00/13
票据推销,0,00/18
票据推销,0,00/23
票据推销,0,00/28
票据推销,0,00/33
票据推销,0,00/38
票据推销,0,00/43
票据推销,0,00/48
票据推销,0,00/53
票据推销,0,00/58
票据推销,0,01/03
票据推销,0,01/08
票据推销,0,01/13
票据推销,0,01/18
票据推销,0,01/23
票据推销,0,01/28
票据推销,0,01/33
票据推销,0,01/38
票据推销,0,01/43
票据推销,0,01/48
票据推销,0,01/53
票据推销,0,01/58
票据推销,0,02/03
票据推销,0,02/08
票据推销,0,02/13
票据推销,0,02/18
票据推销,0,02/23
票据推销,0,02/28
票据推销,0,02/33
票据推销,0,02/38
票据推销,0,02/43
票据推销,0,02/48
票据推销,0,02/53
票据推销,0,02/58
票据推销,0,03/03
票据推销,0,03/08
票据推销,0,03/13
票据推销,0,03/18
票据推销,0,03/23
票据推销,0,03/28
票据推销,0,03/33
票据推销,0,03/38
票据推销,0,03/43
票据推销,0,03/48
票据推销,0,03/53
票据推销,0,03/58
票据推销,0,04/03
票据推销,0,04/08
票据推销,0,04/13
票据推销,0,04/18
票据推销,0,04/23
票据推销,4,04/28
票据推销,0,04/33
票据推销,0,04/38
票据推销,0,04/43
票据推销,0,04/48
票据推销,0,04/53
票据推销,0,04/58
票据推销,0,05/03
票据推销,0,05/08
票据推销,0,05/13
票据推销,0,05/18
票据推销,0,05/23
票据推销,0,05/28
票据推销,0,05/33
票据推销,0,05/38
票据推销,0,05/43
票据推销,0,05/48
票据推销,0,05/53
票据推销,4,05/58
票据推销,0,06/03
票据推销,0,06/08
票据推销,0,06/13
票据推销,3,06/18
票据推销,14,06/23
票据推销,9,06/28
票据推销,0,06/33
票据推销,0,06/38
票据推销,0,06/43
票据推销,8,06/48
票据推销,8,06/53
票据推销,15,06/58
票据推销,23,07/03
票据推销,40,07/08
票据推销,24,07/13
票据推销,8,07/18
票据推销,19,07/23
票据推销,3,07/28
票据推销,16,07/33
票据推销,32,07/38
票据推销,23,07/43
票据推销,0,07/48
票据推销,7,07/53
票据推销,8,07/58
票据推销,12,08/03
票据推销,0,08/08
票据推销,16,08/13
票据推销,28,08/18
票据推销,13,08/23
票据推销,32,08/28
票据推销,37,08/33
票据推销,26,08/38
票据推销,48,08/43
票据推销,53,08/48
票据推销,75,08/53
票据推销,36,08/58
票据推销,97,09/03
票据推销,103,09/08
票据推销,57,09/13
票据推销,91,09/18
票据推销,89,09/23
票据推销,93,09/28
票据推销,94,09/33
票据推销,104,09/38
票据推销,89,09/43
票据推销,112,09/48
票据推销,193,09/53
票据推销,265,09/58
票据推销,216,10/03
票据推销,187,10/08
票据推销,262,10/13
票据推销,175,10/18
票据推销,182,10/23
票据推销,154,10/28
票据推销,169,10/33
票据推销,135,10/38
票据推销,186,10/43
票据推销,270,10/48
票据推销,341,10/53
票据推销,238,10/58
票据推销,192,11/03
票据推销,134,11/08
票据推销,128,11/13
票据推销,148,11/18
票据推销,159,11/23
票据推销,174,11/28
票据推销,119,11/33
票据推销,190,11/38
票据推销,184,11/43
票据推销,225,11/48
票据推销,168,11/53
票据推销,84,11/58
票据推销,114,12/03
票据推销,182,12/08
票据推销,170,12/13
票据推销,120,12/18
票据推销,153,12/23
票据推销,91,12/28
票据推销,126,12/33
票据推销,146,12/38
票据推销,142,12/43
票据推销,115,12/48
票据推销,184,12/53
票据推销,154,12/58
票据推销,117,13/03
票据推销,128,13/08
票据推销,69,13/13
票据推销,44,13/18
票据推销,79,13/23
票据推销,60,13/28
票据推销,31,13/33
票据推销,103,13/38
票据推销,37,13/43
票据推销,48,13/48
票据推销,64,13/53
票据推销,65,13/58
票据推销,77,14/03
票据推销,51,14/08
票据推销,40,14/13
票据推销,54,14/18
票据推销,48,14/23
票据推销,50,14/28
票据推销,46,14/33
票据推销,46,14/38
票据推销,32,14/43
票据推销,32,14/48
票据推销,72,14/53
票据推销,55,14/58
票据推销,77,15/03
票据推销,68,15/08
票据推销,49,15/13
票据推销,59,15/18
票据推销,57,15/23
票据推销,83,15/28
票据推销,108,15/33
票据推销,160,15/38
票据推销,150,15/43
票据推销,204,15/48
票据推销,111,15/53
票据推销,151,15/58
票据推销,183,16/03
票据推销,175,16/08
票据推销,200,16/13
票据推销,128,16/18
票据推销,209,16/23
票据推销,135,16/28
票据推销,124,16/33
票据推销,88,16/38
票据推销,164,16/43
票据推销,133,16/48
票据推销,192,16/53
票据推销,142,16/58
票据推销,205,17/03
票据推销,196,17/08
票据推销,145,17/13
票据推销,234,17/18
票据推销,270,17/23
票据推销,277,17/28
票据推销,270,17/33
票据推销,206,17/38
票据推销,320,17/43
票据推销,329,17/48
票据推销,335,17/53
票据推销,278,17/58
票据推销,268,18/03
票据推销,230,18/08
票据推销,232,18/13
票据推销,230,18/18
票据推销,168,18/23
票据推销,207,18/28
票据推销,245,18/33
票据推销,326,18/38
票据推销,249,18/43
票据推销,292,18/48
票据推销,134,18/53
票据推销,229,18/58
票据推销,197,19/03
票据推销,246,19/08
票据推销,211,19/13
票据推销,96,19/18
票据推销,183,19/23
票据推销,179,19/28
票据推销,130,19/33
票据推销,149,19/38
票据推销,199,19/43
票据推销,139,19/48
票据推销,202,19/53
票据推销,114,19/58
