key,value,date
票据推销,0,00/03
票据推销,0,00/08
票据推销,0,00/13
票据推销,5,00/18
票据推销,0,00/23
票据推销,0,00/28
票据推销,0,00/33
票据推销,0,00/38
票据推销,0,00/43
票据推销,0,00/48
票据推销,0,00/53
票据推销,0,00/58
票据推销,0,01/03
票据推销,0,01/08
票据推销,0,01/13
票据推销,0,01/18
票据推销,0,01/23
票据推销,0,01/28
票据推销,0,01/33
票据推销,0,01/38
票据推销,0,01/43
票据推销,0,01/48
票据推销,0,01/53
票据推销,0,01/58
票据推销,0,02/03
票据推销,0,02/08
票据推销,0,02/13
票据推销,0,02/18
票据推销,0,02/23
票据推销,0,02/28
票据推销,0,02/33
票据推销,0,02/38
票据推销,0,02/43
票据推销,0,02/48
票据推销,0,02/53
票据推销,0,02/58
票据推销,0,03/03
票据推销,0,03/08
票据推销,0,03/13
票据推销,0,03/18
票据推销,0,03/23
票据推销,0,03/28
票据推销,0,03/33
票据推销,0,03/38
票据推销,0,03/43
票据推销,0,03/48
票据推销,0,03/53
票据推销,0,03/58
票据推销,0,04/03
票据推销,0,04/08
票据推销,0,04/13
票据推销,0,04/18
票据推销,0,04/23
票据推销,0,04/28
票据推销,0,04/33
票据推销,1,04/38
票据推销,0,04/43
票据推销,0,04/48
票据推销,0,04/53
票据推销,0,04/58
票据推销,0,05/03
票据推销,0,05/08
票据推销,0,05/13
票据推销,0,05/18
票据推销,20,05/23
票据推销,15,05/28
票据推销,10,05/33
票据推销,5,05/38
票据推销,0,05/43
票据推销,9,05/48
票据推销,4,05/53
票据推销,6,05/58
票据推销,9,06/03
票据推销,12,06/08
票据推销,16,06/13
票据推销,36,06/18
票据推销,47,06/23
票据推销,14,06/28
票据推销,37,06/33
票据推销,80,06/38
票据推销,47,06/43
票据推销,119,06/48
票据推销,109,06/53
票据推销,175,06/58
票据推销,233,07/03
票据推销,63,07/08
票据推销,196,07/13
票据推销,190,07/18
票据推销,237,07/23
票据推销,235,07/28
票据推销,305,07/33
票据推销,333,07/38
票据推销,385,07/43
票据推销,431,07/48
票据推销,463,07/53
票据推销,312,07/58
票据推销,383,08/03
票据推销,368,08/08
票据推销,426,08/13
票据推销,323,08/18
票据推销,381,08/23
票据推销,380,08/28
票据推销,329,08/33
票据推销,349,08/38
票据推销,375,08/43
票据推销,423,08/48
票据推销,427,08/53
票据推销,403,08/58
票据推销,341,09/03
票据推销,380,09/08
票据推销,287,09/13
票据推销,347,09/18
票据推销,383,09/23
票据推销,244,09/28
票据推销,334,09/33
票据推销,306,09/38
票据推销,293,09/43
票据推销,309,09/48
票据推销,326,09/53
票据推销,259,09/58
票据推销,309,10/03
票据推销,260,10/08
票据推销,329,10/13
票据推销,362,10/18
票据推销,310,10/23
票据推销,267,10/28
票据推销,235,10/33
票据推销,268,10/38
票据推销,292,10/43
票据推销,258,10/48
票据推销,202,10/53
票据推销,127,10/58
票据推销,115,11/03
票据推销,243,11/08
票据推销,146,11/13
票据推销,162,11/18
票据推销,167,11/23
票据推销,75,11/28
票据推销,113,11/33
票据推销,121,11/38
票据推销,99,11/43
票据推销,92,11/48
票据推销,120,11/53
票据推销,139,11/58
票据推销,104,12/03
票据推销,148,12/08
票据推销,172,12/13
票据推销,161,12/18
票据推销,98,12/23
票据推销,83,12/28
票据推销,83,12/33
票据推销,113,12/38
票据推销,136,12/43
票据推销,42,12/48
票据推销,100,12/53
票据推销,78,12/58
票据推销,107,13/03
票据推销,153,13/08
票据推销,100,13/13
票据推销,32,13/18
票据推销,43,13/23
票据推销,135,13/28
票据推销,77,13/33
票据推销,125,13/38
票据推销,110,13/43
票据推销,128,13/48
票据推销,139,13/53
票据推销,94,13/58
票据推销,144,14/03
票据推销,152,14/08
票据推销,123,14/13
票据推销,76,14/18
票据推销,109,14/23
票据推销,93,14/28
票据推销,140,14/33
票据推销,105,14/38
票据推销,198,14/43
票据推销,118,14/48
票据推销,109,14/53
票据推销,117,14/58
票据推销,57,15/03
票据推销,54,15/08
票据推销,70,15/13
票据推销,44,15/18
票据推销,69,15/23
票据推销,53,15/28
票据推销,61,15/33
票据推销,89,15/38
票据推销,97,15/43
票据推销,105,15/48
票据推销,108,15/53
票据推销,106,15/58
票据推销,130,16/03
票据推销,127,16/08
票据推销,132,16/13
票据推销,157,16/18
票据推销,123,16/23
票据推销,186,16/28
票据推销,191,16/33
票据推销,152,16/38
票据推销,217,16/43
票据推销,172,16/48
票据推销,187,16/53
票据推销,366,16/58
票据推销,350,17/03
票据推销,343,17/08
票据推销,327,17/13
票据推销,352,17/18
票据推销,342,17/23
票据推销,481,17/28
票据推销,460,17/33
票据推销,507,17/38
票据推销,419,17/43
票据推销,432,17/48
票据推销,365,17/53
票据推销,309,17/58
票据推销,472,18/03
票据推销,433,18/08
票据推销,368,18/13
票据推销,434,18/18
票据推销,486,18/23
票据推销,413,18/28
票据推销,433,18/33
票据推销,445,18/38
票据推销,481,18/43
票据推销,448,18/48
票据推销,297,18/53
票据推销,361,18/58
票据推销,317,19/03
票据推销,386,19/08
票据推销,274,19/13
票据推销,372,19/18
票据推销,300,19/23
票据推销,303,19/28
票据推销,209,19/33
票据推销,155,19/38
票据推销,194,19/43
票据推销,213,19/48
票据推销,291,19/53
票据推销,150,19/58
