key,value,date
票据推销,0,00/03
票据推销,17,00/08
票据推销,0,00/13
票据推销,0,00/18
票据推销,0,00/23
票据推销,0,00/28
票据推销,0,00/33
票据推销,0,00/38
票据推销,0,00/43
票据推销,0,00/48
票据推销,0,00/53
票据推销,0,00/58
票据推销,0,01/03
票据推销,0,01/08
票据推销,0,01/13
票据推销,0,01/18
票据推销,0,01/23
票据推销,0,01/28
票据推销,0,01/33
票据推销,0,01/38
票据推销,0,01/43
票据推销,0,01/48
票据推销,0,01/53
票据推销,0,01/58
票据推销,0,02/03
票据推销,0,02/08
票据推销,0,02/13
票据推销,0,02/18
票据推销,0,02/23
票据推销,0,02/28
票据推销,0,02/33
票据推销,0,02/38
票据推销,0,02/43
票据推销,0,02/48
票据推销,0,02/53
票据推销,0,02/58
票据推销,0,03/03
票据推销,0,03/08
票据推销,0,03/13
票据推销,0,03/18
票据推销,0,03/23
票据推销,0,03/28
票据推销,0,03/33
票据推销,0,03/38
票据推销,0,03/43
票据推销,6,03/48
票据推销,0,03/53
票据推销,0,03/58
票据推销,0,04/03
票据推销,0,04/08
票据推销,0,04/13
票据推销,0,04/18
票据推销,0,04/23
票据推销,0,04/28
票据推销,0,04/33
票据推销,0,04/38
票据推销,0,04/43
票据推销,0,04/48
票据推销,0,04/53
票据推销,0,04/58
票据推销,0,05/03
票据推销,0,05/08
票据推销,0,05/13
票据推销,0,05/18
票据推销,0,05/23
票据推销,0,05/28
票据推销,0,05/33
票据推销,0,05/38
票据推销,5,05/43
票据推销,0,05/48
票据推销,0,05/53
票据推销,0,05/58
票据推销,0,06/03
票据推销,12,06/08
票据推销,0,06/13
票据推销,14,06/18
票据推销,39,06/23
票据推销,18,06/28
票据推销,59,06/33
票据推销,63,06/38
票据推销,51,06/43
票据推销,59,06/48
票据推销,42,06/53
票据推销,23,06/58
票据推销,54,07/03
票据推销,104,07/08
票据推销,112,07/13
票据推销,126,07/18
票据推销,253,07/23
票据推销,111,07/28
票据推销,120,07/33
票据推销,161,07/38
票据推销,175,07/43
票据推销,221,07/48
票据推销,181,07/53
票据推销,224,07/58
票据推销,170,08/03
