key,value,date
票据推销,0,00/03
票据推销,0,00/08
票据推销,0,00/13
票据推销,0,00/18
票据推销,0,00/23
票据推销,0,00/28
票据推销,4,00/33
票据推销,0,00/38
票据推销,0,00/43
票据推销,20,00/48
票据推销,0,00/53
票据推销,5,00/58
票据推销,5,01/03
票据推销,3,01/08
票据推销,0,01/13
票据推销,3,01/18
票据推销,0,01/23
票据推销,0,01/28
票据推销,0,01/33
票据推销,8,01/38
票据推销,0,01/43
票据推销,0,01/48
票据推销,0,01/53
票据推销,0,01/58
票据推销,0,02/03
票据推销,0,02/08
票据推销,0,02/13
票据推销,0,02/18
票据推销,0,02/23
票据推销,0,02/28
票据推销,0,02/33
票据推销,0,02/38
票据推销,0,02/43
票据推销,0,02/48
票据推销,0,02/53
票据推销,0,02/58
票据推销,0,03/03
票据推销,0,03/08
票据推销,0,03/13
票据推销,0,03/18
票据推销,0,03/23
票据推销,0,03/28
票据推销,0,03/33
票据推销,0,03/38
票据推销,0,03/43
票据推销,0,03/48
票据推销,0,03/53
票据推销,0,03/58
票据推销,5,04/03
票据推销,0,04/08
票据推销,0,04/13
票据推销,0,04/18
票据推销,0,04/23
票据推销,0,04/28
票据推销,3,04/33
票据推销,6,04/38
票据推销,0,04/43
票据推销,0,04/48
票据推销,0,04/53
票据推销,0,04/58
票据推销,0,05/03
票据推销,0,05/08
票据推销,0,05/13
票据推销,0,05/18
票据推销,0,05/23
票据推销,0,05/28
票据推销,0,05/33
票据推销,0,05/38
票据推销,0,05/43
票据推销,0,05/48
票据推销,0,05/53
票据推销,5,05/58
票据推销,16,06/03
票据推销,21,06/08
票据推销,51,06/13
票据推销,20,06/18
票据推销,44,06/23
票据推销,66,06/28
票据推销,101,06/33
票据推销,113,06/38
票据推销,113,06/43
票据推销,62,06/48
票据推销,115,06/53
票据推销,152,06/58
票据推销,162,07/03
票据推销,239,07/08
票据推销,190,07/13
票据推销,181,07/18
票据推销,252,07/23
票据推销,231,07/28
票据推销,275,07/33
票据推销,247,07/38
票据推销,316,07/43
票据推销,282,07/48
票据推销,237,07/53
票据推销,309,07/58
票据推销,300,08/03
票据推销,256,08/08
票据推销,317,08/13
票据推销,297,08/18
票据推销,270,08/23
票据推销,304,08/28
票据推销,302,08/33
票据推销,341,08/38
票据推销,389,08/43
票据推销,365,08/48
票据推销,486,08/53
票据推销,449,08/58
票据推销,487,09/03
票据推销,600,09/08
票据推销,412,09/13
票据推销,435,09/18
票据推销,487,09/23
票据推销,387,09/28
票据推销,513,09/33
票据推销,372,09/38
票据推销,421,09/43
票据推销,343,09/48
票据推销,476,09/53
票据推销,407,09/58
票据推销,372,10/03
票据推销,445,10/08
票据推销,429,10/13
票据推销,324,10/18
票据推销,534,10/23
票据推销,351,10/28
票据推销,387,10/33
票据推销,375,10/38
票据推销,324,10/43
票据推销,341,10/48
票据推销,328,10/53
票据推销,368,10/58
票据推销,221,11/03
票据推销,258,11/08
票据推销,206,11/13
票据推销,292,11/18
票据推销,293,11/23
票据推销,302,11/28
票据推销,213,11/33
票据推销,216,11/38
票据推销,262,11/43
票据推销,205,11/48
票据推销,111,11/53
票据推销,157,11/58
票据推销,187,12/03
票据推销,170,12/08
票据推销,143,12/13
票据推销,76,12/18
票据推销,137,12/23
票据推销,80,12/28
票据推销,80,12/33
票据推销,155,12/38
票据推销,122,12/43
票据推销,158,12/48
票据推销,230,12/53
票据推销,152,12/58
票据推销,154,13/03
票据推销,252,13/08
票据推销,187,13/13
票据推销,182,13/18
票据推销,256,13/23
票据推销,147,13/28
票据推销,184,13/33
票据推销,190,13/38
票据推销,141,13/43
票据推销,191,13/48
票据推销,152,13/53
票据推销,161,13/58
票据推销,189,14/03
票据推销,147,14/08
票据推销,137,14/13
票据推销,139,14/18
票据推销,138,14/23
票据推销,103,14/28
票据推销,141,14/33
票据推销,81,14/38
票据推销,105,14/43
票据推销,102,14/48
票据推销,162,14/53
票据推销,150,14/58
票据推销,167,15/03
票据推销,206,15/08
票据推销,131,15/13
票据推销,139,15/18
票据推销,144,15/23
票据推销,172,15/28
票据推销,128,15/33
票据推销,73,15/38
票据推销,116,15/43
票据推销,131,15/48
票据推销,187,15/53
票据推销,123,15/58
票据推销,153,16/03
票据推销,146,16/08
票据推销,111,16/13
票据推销,162,16/18
票据推销,193,16/23
票据推销,153,16/28
票据推销,174,16/33
票据推销,170,16/38
票据推销,200,16/43
票据推销,198,16/48
票据推销,223,16/53
票据推销,216,16/58
票据推销,284,17/03
票据推销,203,17/08
票据推销,296,17/13
票据推销,340,17/18
票据推销,327,17/23
票据推销,322,17/28
票据推销,305,17/33
票据推销,564,17/38
票据推销,617,17/43
票据推销,484,17/48
票据推销,523,17/53
票据推销,445,17/58
票据推销,383,18/03
票据推销,424,18/08
票据推销,421,18/13
票据推销,431,18/18
票据推销,523,18/23
票据推销,450,18/28
票据推销,355,18/33
票据推销,452,18/38
票据推销,570,18/43
票据推销,591,18/48
票据推销,350,18/53
票据推销,374,18/58
票据推销,477,19/03
票据推销,407,19/08
票据推销,428,19/13
票据推销,407,19/18
票据推销,320,19/23
票据推销,402,19/28
票据推销,359,19/33
票据推销,385,19/38
票据推销,367,19/43
票据推销,360,19/48
票据推销,339,19/53
票据推销,293,19/58
