time,票据推销,色情欺诈,卡贷诱骗,商务广告
75,32,0,0,0
76,39,0,0,0
77,36,0,0,0
78,19,0,0,0
79,25,0,0,0
80,112,0,0,0
81,103,0,0,0
82,115,0,0,0
83,153,0,0,0
84,227,0,0,0
85,189,0,0,0
86,139,0,0,0
87,177,0,0,0
88,163,0,0,0
89,200,0,4,0
91,130,0,0,0
92,121,0,0,0
93,141,0,0,2
94,205,0,0,0
95,210,0,0,0
96,195,0,1,0
97,220,0,0,1
98,176,0,2,5
99,283,0,8,1
100,230,0,3,5
101,291,0,7,0
102,212,0,2,0
104,181,0,5,2
105,302,0,4,0
106,251,0,2,0
107,253,0,2,0
108,214,0,6,0
110,270,0,14,2
111,189,0,18,1
112,131,0,9,5
113,138,0,87,16
114,149,0,37,0
115,213,0,74,7
116,223,0,52,2
117,185,0,44,9
118,138,0,3,8
119,120,0,2,3
120,156,0,9,2
121,144,0,1,0
122,151,0,10,6
123,153,0,10,1
125,84,0,43,0
126,77,0,54,3
128,108,0,52,0
129,151,0,122,4
130,136,0,161,0
131,75,0,110,0
132,56,0,84,0
133,82,0,41,0
134,77,0,83,0
135,88,0,114,0
136,84,0,45,0
138,88,0,77,3
140,83,0,58,6
