time,票据推销,色情欺诈,卡贷诱骗,商务广告
139,47,0,23,1
140,14,0,3,0
142,15,0,16,0
143,28,0,20,2
144,19,0,47,2
145,28,0,42,1
146,3,0,44,0
147,4,0,54,0
148,37,0,48,0
149,23,0,101,0
153,16,0,51,0
155,5,0,41,0
156,27,0,48,0
157,68,0,34,1
158,29,0,49,0
162,42,0,93,3
163,56,0,109,3
164,75,0,93,7
165,48,0,144,1
166,61,0,162,0
167,44,0,139,0
168,36,0,146,1
169,21,0,61,4
171,37,0,93,0
172,4,0,103,3
173,47,0,130,0
174,34,0,151,0
175,32,0,58,6
176,17,0,134,0
177,13,0,103,0
178,4,0,129,0
179,11,0,81,0
183,70,0,83,0
184,43,0,51,2
