time,票据推销,色情欺诈,卡贷诱骗,商务广告
187,37,0,0,5
188,11,0,8,0
189,16,0,0,3
193,11,0,0,0
194,33,0,0,0
195,17,0,0,0
199,16,0,18,0
202,59,0,5,0
203,94,0,30,0
204,92,0,18,2
207,128,0,73,0
208,106,0,52,4
209,114,0,46,0
210,92,0,42,0
211,133,0,11,0
215,118,0,0,0
216,125,20,3,3
217,153,0,45,0
218,35,0,89,2
219,147,0,85,1
220,215,0,34,3
221,167,0,41,0
222,231,0,102,0
223,131,0,27,0
224,142,0,32,3
225,176,23,12,4
227,94,138,31,0
228,147,57,79,2
229,181,6,33,0
230,110,123,38,0
231,89,74,41,0
232,172,74,28,3
233,201,123,44,1
234,100,78,59,0
235,97,125,19,1
236,105,20,83,1
237,135,23,44,0
238,112,10,23,0
239,167,19,34,5
240,117,114,7,1
241,209,155,2,4
242,126,152,0,0
243,81,158,3,3
244,121,207,0,0
245,114,173,0,0
246,42,147,0,0
247,119,141,0,0
248,67,142,0,0
249,16,73,0,0
250,17,56,0,0
251,23,88,0,0
252,7,113,0,0
254,3,79,0,0
255,13,108,0,0
256,7,100,0,0
257,68,13,0,0
258,54,47,0,0
259,53,34,0,0
260,64,61,0,0
261,64,131,0,0
262,74,38,0,0
263,66,98,0,0
264,60,109,0,0
265,129,69,0,0
266,23,56,0,0
267,15,40,0,0
268,3,78,0,0
269,3,92,0,0
270,0,125,0,0
271,0,40,0,0
272,4,97,0,0
273,0,73,0,0
274,0,61,0,0
275,0,42,0,0
276,0,45,0,0
277,0,43,0,0
278,0,26,0,0
279,0,42,0,0
280,0,34,0,0
281,0,39,0,0
282,0,44,0,0
283,0,62,0,0
284,0,36,0,0
285,0,39,0,0
286,0,75,0,0
287,0,39,0,0
