time,label,lat,lng,value
0,1,39.90322876,116.44415283,1
0,1,39.90302658,116.44364929,1
0,1,39.90322876,116.44415283,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90322876,116.44415283,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90302658,116.44364929,1
0,1,39.90475464,116.45128632,1
0,1,39.90384674,116.44976807,1
0,1,39.90713501,116.44618988,1
0,1,39.90575409,116.45146179,1
0,1,39.90713501,116.44618988,1
0,1,39.90198898,116.46311951,1
0,1,39.90713501,116.44618988,1
0,1,39.90302658,116.44364929,1
0,1,39.90322876,116.44415283,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90367889,116.44805145,1
0,1,39.90384674,116.44976807,1
0,1,39.90713501,116.44618988,1
0,1,39.90526199,116.44701385,1
0,1,39.90367889,116.44805145,1
0,1,39.90384674,116.44976807,1
0,1,39.90713501,116.44618988,1
0,1,39.90526199,116.44701385,1
0,1,39.90322876,116.44415283,1
0,1,39.90302658,116.44364929,1
0,1,39.90322876,116.44415283,1
0,1,39.90302658,116.44364929,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90542603,116.45046997,1
0,1,39.90384674,116.44976807,1
0,1,39.90293884,116.44686127,1
0,1,39.90384674,116.44976807,1
0,1,39.90293884,116.44686127,1
0,1,39.90384674,116.44976807,1
0,1,39.96181107,116.46794891,1
0,1,39.96181107,116.46794891,1
0,1,39.96181107,116.46794891,1
0,1,39.95984268,116.46617889,1
0,1,39.96181107,116.46794891,1
0,1,39.96181107,116.46794891,1
0,1,39.96181107,116.46794891,1
0,1,39.96181107,116.46794891,1
1,1,39.90248108,116.4434967,1
1,1,39.90248108,116.4434967,1
1,1,39.90275955,116.44381714,1
1,1,39.90275955,116.44381714,1
1,1,39.90312195,116.44293976,1
1,1,39.90069962,116.44703674,1
1,1,39.90289688,116.44573212,1
1,1,39.90384674,116.44976807,1
1,1,39.90289688,116.44573212,1
1,1,39.90589905,116.45426178,1
1,1,39.90642548,116.45383453,1
1,1,39.90830994,116.45370483,1
1,1,39.89842987,116.45175934,1
1,1,39.89362335,116.45231628,1
1,1,39.89842987,116.45175934,1
1,1,39.89360809,116.45776367,1
1,1,39.92046356,116.44979095,1
1,1,39.91760254,116.44501495,1
1,1,39.92046356,116.44979095,1
1,1,39.92046356,116.44979095,1
1,1,39.92031479,116.44374847,1
1,1,39.8936882,116.38900757,1
1,1,39.9192276,116.44094086,1
1,1,39.917202,116.43759155,1
1,1,39.90322876,116.44415283,1
1,1,39.90302658,116.44364929,1
1,1,39.90670776,116.44380951,1
1,1,39.90670776,116.44380951,1
1,1,39.90542603,116.45046997,1
1,1,39.90542603,116.45046997,1
1,1,39.90575409,116.45146179,1
1,1,39.90575409,116.45146179,1
1,1,39.9208374,116.4419632,1
1,1,39.92234421,116.44084167,1
1,1,39.9208374,116.4419632,1
1,1,39.92234421,116.44084167,1
1,1,39.9208374,116.4419632,1
1,1,39.90869904,116.35030365,1
1,1,39.90869904,116.35030365,1
1,1,39.90589905,116.45426178,1
1,1,39.90642548,116.45383453,1
1,1,39.90830994,116.45370483,1
1,1,39.8936882,116.38900757,1
1,1,39.9192276,116.44094086,1
1,1,39.917202,116.43759155,1
1,1,39.90322876,116.44415283,1
1,1,39.90542603,116.45046997,1
1,1,39.90542603,116.45046997,1
1,1,39.90575409,116.45146179,1
1,1,39.90575409,116.45146179,1
