time,票据推销,色情欺诈,卡贷诱骗,商务广告
83,20,0,0,0
84,64,0,0,0
85,14,0,0,0
86,11,0,0,0
87,32,0,0,0
88,22,0,0,0
89,19,0,0,0
93,28,0,0,0
94,60,0,5,0
96,106,0,0,0
97,34,0,0,0
98,46,0,4,0
99,68,0,7,4
100,36,0,1,0
101,55,0,2,0
102,42,0,12,0
103,65,0,5,0
105,15,0,11,0
106,6,0,10,0
107,41,0,3,0
108,45,0,10,0
109,28,0,20,0
110,68,0,13,0
111,52,3,5,0
112,16,0,7,0
113,29,0,17,5
115,26,0,53,0
117,37,0,26,0
118,21,0,43,0
119,32,0,51,0
120,12,0,45,0
121,7,0,87,0
122,23,0,34,0
123,19,0,48,0
124,42,0,28,0
125,20,0,14,0
126,9,0,20,1
127,35,0,24,1
128,40,0,5,5
129,24,0,11,0
130,51,0,31,0
131,39,0,15,5
132,18,0,0,0
133,33,0,10,0
134,35,0,32,0
135,79,0,45,0
136,41,0,37,0
137,32,0,24,0
138,14,0,33,0
139,27,0,10,0
141,44,0,11,2
142,97,0,4,5
143,28,0,0,0
144,34,0,3,0
146,21,0,1,3
147,40,0,9,0
148,24,0,18,0
149,23,0,0,0
150,50,0,3,0
151,35,0,0,0
153,31,0,30,0
154,51,0,9,0
155,32,0,4,0
156,10,0,1,0
157,9,0,23,0
158,4,0,20,0
161,23,0,7,0
162,48,0,5,0
163,29,0,2,0
165,31,0,3,0
166,43,0,9,0
167,61,0,9,3
168,21,0,14,0
169,22,0,26,0
170,9,0,19,0
171,14,0,46,2
172,17,0,29,0
173,16,0,24,0
175,20,0,47,0
