time,票据推销,色情欺诈,卡贷诱骗,商务广告
150,12,0,11,2
151,13,0,0,0
153,0,0,20,0
154,2,0,51,0
155,19,0,0,0
157,10,0,0,0
161,22,0,34,0
162,29,0,12,0
163,24,0,3,4
164,22,0,6,0
167,46,0,2,0
168,36,0,69,0
169,94,0,114,8
170,111,0,88,4
171,124,0,187,0
172,66,0,244,0
173,81,0,173,0
174,85,0,120,0
175,34,0,70,0
176,69,0,89,0
178,37,0,146,0
180,17,0,79,0
181,18,0,83,4
182,19,0,144,0
183,50,0,196,0
184,28,0,104,0
185,25,0,71,0
186,45,0,68,0
187,56,0,27,0
188,49,0,54,0
189,45,0,98,0
190,27,0,78,0
191,8,0,87,1
192,48,0,61,0
193,63,0,68,1
195,93,0,130,0
196,81,0,92,0
198,42,0,27,1
200,233,0,70,0
201,174,0,115,0
202,87,0,110,0
203,140,1,43,0
204,130,0,32,0
205,69,5,78,0
206,105,7,152,0
209,147,13,39,2
210,199,14,74,0
211,164,15,55,0
212,166,12,44,0
213,189,10,92,0
214,247,4,47,0
215,196,0,154,0
216,152,0,147,0
217,220,0,156,0
218,211,0,128,0
219,245,0,141,0
220,194,0,135,2
222,223,0,92,0
223,211,0,51,0
224,239,0,66,0
225,195,0,95,0
226,144,0,97,0
227,172,0,96,0
229,168,0,175,0
230,185,0,80,0
231,158,0,111,0
232,178,0,116,0
233,198,0,59,0
234,145,0,75,0
235,150,0,57,0
236,124,3,52,0
237,101,22,45,0
238,201,10,42,1
239,145,4,80,2
240,215,38,23,0
241,177,8,18,0
242,137,13,0,1
243,101,19,17,1
244,141,9,2,0
245,143,9,0,0
246,112,13,0,0
247,107,24,2,1
248,105,0,0,0
250,97,8,17,18
251,136,10,12,6
252,35,4,0,14
255,26,33,0,3
256,24,38,2,0
257,26,19,0,0
258,29,8,4,0
259,65,11,0,0
260,67,6,4,0
261,51,0,0,0
263,11,5,9,0
264,29,5,0,0
265,18,3,0,0
266,26,4,0,0
267,14,0,0,0
268,13,3,0,0
270,8,8,0,0
271,7,27,0,0
272,19,26,0,0
273,4,50,0,0
274,4,33,0,0
275,0,15,0,0
276,0,18,0,0
277,0,18,0,0
