word,frequency,label
发票,41242,0
公司,38095,0
行业,29504,0
付款,28549,1
代开,27033,0
电话,20309,1
正规,18406,0
打扰,16168,1
核实,16072,2
保真,15055,0
北京,14498,1
验后,13057,0
增值税,12298,0
低保真,11551,0
尊敬,10780,2
用户,10454,2
登录,9327,2
账户,9151,2
工行,8788,2
工商银行,8788,2
冻结,8751,2
机打,8544,0
微信,8512,1
被,8280,2
酒店,8232,1
因,8218,2
解冻,8153,2
未分类,8036,2
个人信息,8036,2
按,8036,2
提示,8036,2
白领,7611,1
模特,7611,1
公寓,7117,1
见谅,7065,1
上门服务,6399,1
年代,6160,0
兑现,5770,0
支票,5765,0
联系电话,5572,1
长期,5505,1
空姐,5064,1
满意,4939,1
需要,4865,0
少妇,4809,1
无需,4809,1
定金,4606,1
洋妞,4554,1
普通,4511,0
恭喜发财,4454,0
对外,4334,0
材料,4318,0
服务,4283,1
全国,4257,0
联系,4221,0
美女,3951,1
海涵,3839,1
诚信,3792,1
走账,3771,0
常,3691,0
各种,3662,0
咨询,3470,0
票,3430,0
谅解,3425,0
三线,3416,1
国内外,3290,1
经理,3178,0
热线,3094,1
工程,3050,0
明星,3034,1
可验,2981,0
刻章,2928,0
李经理,2870,0
办证,2863,0
提供,2812,1
学生,2751,1
对公,2708,0
韩,2698,1
张,2689,0
广告,2686,0
会议,2655,0
王经理,2651,0
税点,2625,0
低,2620,0
会计,2598,0
清纯,2547,1
学妹,2547,1
法意,2547,1
俄,2547,1
高端,2547,1
科技,2504,0
各行各业,2482,0
长,2469,0
信用卡,2405,2
北京市,2390,0
价格,2332,0
验证,2300,0
万,2169,2
工程款,2168,0
增值,2131,0
万元,2092,2
韩欧美,2007,1
多余,1966,0
请谅解,1946,0
低验,1895,0
学生妹,1886,1
点低,1881,0
款,1864,0
年,1858,2
可开,1823,0
办理,1768,0
信号,1718,0
专业,1717,0
普通发票,1696,0
国外,1678,1
查询,1670,0
姿色,1653,1
走帐,1638,0
出售,1630,0
国税,1621,0
租赁,1590,0
不,1569,2
优惠,1557,0
及,1523,0
合作,1493,0
专用,1482,0
护士,1467,1
短信,1459,1
勿扰,1454,1
长期有效,1450,0
上门,1449,1
永久,1447,0
按摩,1445,1
留学生,1445,1
诚电,1445,1
非城,1445,1
不回,1445,1
办公用品,1431,0
微,1426,0
逾期,1422,2
多,1376,2
常年,1315,0
李,1311,0
新版,1293,0
税率,1283,0
如需,1280,0
敬请,1267,0
实习,1264,1
联系人,1249,0
佳丽,1212,1
高,1210,0
专票,1204,0
普增,1202,0
公,1149,0
张伟,1136,0
绝对,1135,0
详询,1132,0
登陆,1097,2
建行,1096,2
建设银行,1096,2
我行,1095,2
申请,1089,2
流水,1077,2
一套,1069,2
认证,1067,2
保留,1059,0
王,1050,0
或,1047,2
帐户,1045,2
满足,1045,2
提额,1045,2
截止,1045,2
可验证,1044,0
农家院,1023,2
代,993,0
使用,988,2
等等,979,0
通州,974,2
一房,974,2
一棚,974,2
一院,974,2
独门独院,974,2
房源,968,2
总价,967,2
欲购从速,967,2
王先生,940,0
广告设计,923,0
医疗器械,923,0
设备,923,0
刘华,923,0
外地,919,0
俄罗斯,916,1
办公,914,0
专增票,904,0
普增票,904,0
限,893,3
产权,884,2
建筑,854,0
营改,845,0
起,845,2
