word,frequency,label
发票,21178,0
付款,19283,1
公司,18781,0
行业,18614,0
代开,16203,0
电话,15102,1
账户,12223,2
建设银行,11916,2
兑换,11656,2
现金,11442,2
登录,11219,2
用户,11206,2
尊敬,11156,2
积分,11128,2
小时,10712,2
北京,10522,1
元,10378,2
分,10372,2
我行,10355,2
即将,10345,2
到期,10330,2
清零,10330,2
建行,10329,2
网址,10323,2
验后,8985,0
保真,8769,0
打扰,7799,1
酒店,6485,1
公寓,5858,1
上门服务,5858,1
白领,5858,1
模特,5858,1
正规,5643,0
洋妞,5181,1
满意,5106,1
增值税,4983,0
无需,4946,1
长期,4834,0
定金,4793,1
机打,4473,0
低保真,4191,0
点底,4171,0
高,3947,0
先生,3805,0
三线,3683,1
明星,3517,1
美女,3505,1
诚信,3429,1
热线,3344,1
高端,3340,1
国内外,3318,1
法意,3170,1
俄,3170,1
清纯,3160,1
学妹,3160,1
韩,3160,1
材料,3034,0
工行,2919,2
支票,2894,0
兑现,2894,0
工商银行,2854,2
工程,2795,0
信用卡,2739,2
对外,2723,0
空姐,2698,1
少妇,2694,1
王经理,2670,0
致电,2653,0
学生,2533,1
广告,2522,0
年代,2420,0
常,2283,0
可以,2279,2
额度,2272,2
税点,2262,0
用,2221,2
见谅,2192,1
申请,2190,2
提供,2188,1
卡,2187,2
提额,2182,2
提升,2182,2
中心,2180,2
万元,2180,2
提醒您,2178,2
近期,2178,2
情况,2178,2
固定,2178,2
详情请,2178,2
谅解,2172,0
微信,2063,0
全国,2014,0
韩欧美,2011,1
咨询,1714,0
联系电话,1689,1
低,1666,0
逾期,1641,2
低验,1621,0
店,1558,3
餐饮,1525,0
走账,1503,0
张,1488,0
恭喜发财,1466,0
抵扣,1410,0
海涵,1382,1
普通发票,1332,0
经理,1312,0
住宿,1307,0
查询,1264,2
长期有效,1200,0
科技,1198,0
普通,1193,0
可验,1192,0
验证,1191,2
过,1187,0
短信,1186,2
咨询电话,1184,0
各种,1171,0
等等,1159,0
可验证,1144,0
会议,1135,0
解决,1134,0
失效,1114,2
姿色,1112,1
常年,1111,0
及,1086,0
实习,1082,1
需要,1063,0
等票,1052,0
真点,1052,0
赵,1052,0
女士,1052,0
核实,1044,2
护士,1041,1
办公用品,1031,0
佳丽,1014,1
金发碧眼,997,1
北影,997,1
在校学生,997,1
网上,996,0
请谅解,992,0
满足,962,2
票,955,2
可开,954,0
北京市,949,0
最低,937,0
私人,937,3
可兑换,928,2
已满,894,2
李经理,885,0
李,801,0
各地,798,0
所,783,3
通知,779,2
登陆,779,2
行宫,779,3
男士,779,3
会,779,3
解析,779,3
七情,779,3
六欲,779,3
空间,779,3
尽享,779,3
阴阳,779,3
交融,779,3
激情,779,3
极致,779,3
体验,779,3
抵,779,3
广渠门,779,3
百子,779,3
湾,779,3
喜讯,774,2
国税,743,0
办理,726,2
税务,725,0
见票,723,0
后付费,723,0
为,722,0
生态,684,2
会计,668,0
长年,652,0
专业,618,0
苗木,612,0
加微信,612,0
不,609,2
点低,607,0
问题,604,0
万,601,2
报账,601,0
可代开,596,0
开发票,583,2
劳务,578,0
代,570,0
联系人,569,0
类,568,0
钱,567,0
回,548,3
绝对,548,2
敬请,545,0
