word,frequency,label
公司,33408,0
付款,30443,1
电话,25954,0
发票,24993,0
行业,21248,0
代开,18719,0
低保真,15042,0
北京,15038,1
正规,13518,0
验后,12908,0
打扰,12263,1
公寓,11467,1
上门服务,10148,1
酒店,9965,1
模特,9208,1
白领,8783,1
满意,8540,1
微信,8331,0
洋妞,8059,1
无需,8059,1
定金,8059,1
工商银行,7682,2
工行,7096,2
增值税,6874,0
致电,6830,0
保真,6598,0
用户,6559,2
美女,6445,1
详询,6425,0
不,6346,2
万,6133,2
空姐,5859,1
可验,5710,0
对外,5662,0
信用卡,5590,2
用,5510,2
额度,5428,2
中心,5406,2
申请,5392,2
广告,5376,0
详情请,5376,2
提升,5372,2
固定,5368,2
卡,5356,2
万元,5356,2
可以,5355,2
提额,5352,2
提醒您,5352,2
近期,5352,2
情况,5352,2
提供,5306,1
高端,5264,1
热线,5255,1
材料,5179,0
诚信,5014,1
账户,4992,2
国内外,4841,1
明星,4787,1
三线,4785,1
机打,4782,0
少妇,4740,1
见谅,4723,1
长期,4602,0
清纯,4468,1
学妹,4468,1
韩,4468,1
法意,4468,1
俄,4468,1
学生,4459,1
尊敬,4400,2
元,4181,2
兑换,4168,2
登陆,4167,2
积分,4160,2
小时,4157,2
我行,4151,2
现金,4150,2
即将,4143,2
分,4138,2
建设银行,4133,2
到期,4127,2
建行,4123,2
清零,4123,2
网址,4123,2
海涵,3930,1
可开,3873,0
多余,3865,0
支票,3844,0
韩欧美,3591,1
年代,3586,0
各种,3354,0
租赁,3353,0
服务,3308,0
现房,3290,2
常,3246,0
平米,3220,2
限购,3205,2
王经理,3197,0
核实,3193,2
兑现,3105,0
亦庄,3066,2
入住,3066,2
精装,3059,2
一套,3044,2
多,2979,2
全国,2924,0
即可,2868,2
交钱,2866,2
房源,2866,2
欲购从速,2866,2
经理,2849,0
农家院,2844,2
总价,2806,2
常年,2697,0
票,2603,0
独门独院,2585,2
走账,2579,0
普通,2573,0
京南,2556,2
生态,2556,2
两室,2556,2
一厅,2556,2
远离,2556,2
尾气,2556,2
吃,2556,2
自己,2556,2
种,2556,2
發票,2540,0
被,2535,2
分类,2500,2
菜,2486,2
恭喜发财,2471,0
增值,2465,0
及,2351,0
登录,2338,2
联系,2332,0
通知,2326,2
刘斐,2294,0
普通发票,2293,0
工程,2280,0
姿色,2279,1
实习,2231,1
护士,2231,1
佳丽,2231,1
餐饮,2197,0
规定,2168,2
科技,2165,0
设备,2104,0
联系电话,2068,2
总行,2052,2
北京市,2041,0
工程款,2024,0
款,2024,0
国税发,1844,0
走帐,1844,0
需要,1800,0
及时,1729,2
网上,1687,0
永久,1682,0
未,1648,2
信号,1646,0
长期有效,1634,0
短信,1609,3
或,1609,2
使用,1606,2
李,1580,0
注销,1551,2
认证,1536,2
住宿,1520,0
需,1489,2
和,1483,0
个人账户,1479,2
停用,1479,2
专用,1435,0
微,1428,0
金发碧眼,1360,1
北影,1360,1
在校学生,1360,1
增税,1333,0
房屋,1333,0
机械,1333,0
以及,1333,0
张婷,1333,0
会计,1301,0
对公,1300,0
店,1298,3
会,1276,3
满足,1276,3
私密,1274,3
所,1274,3
解析,1274,3
七情,1274,3
六欲,1274,3
她,1274,3
优雅,1274,3
懂,1274,3
烦忧,1274,3
知,1274,3
苦愁,1274,3
解忧,1274,3
