word,frequency,label
发票,30027,0
公司,26800,0
付款,24959,1
行业,22319,0
代开,19614,0
电话,17641,0
打扰,16744,1
正规,12761,0
增值税,11679,0
验后,10743,0
保真,10309,0
北京,9523,1
酒店,8891,1
低保真,8639,0
见谅,8170,1
微信,7908,1
公寓,7893,1
模特,7390,1
白领,7246,1
少妇,6974,1
空姐,6974,1
上门服务,5675,1
普通,5621,0
海涵,5587,0
机打,5146,0
满意,4954,1
无需,4741,1
定金,4741,1
洋妞,4581,1
长期,4194,1
年代,4027,0
联系电话,3999,1
核实,3778,2
需要,3674,0
对外,3492,0
点低,3353,0
联系,3336,0
韩欧美,3295,1
王经理,3025,0
学生妹,2797,1
学生,2774,1
上门,2770,1
票,2756,0
各种,2750,0
服务,2726,1
支票,2722,0
兑现,2722,0
提供,2711,1
专业,2662,0
对公,2645,0
登录,2630,2
可验,2627,0
账户,2587,2
短信,2576,1
走账,2563,0
不回,2490,1
恭喜发财,2488,0
按摩,2485,1
国外,2485,1
留学生,2485,1
诚电,2485,1
非诚,2485,1
勿扰,2485,1
俄,2471,1
等等,2420,0
常,2363,0
金发碧眼,2327,1
在校学生,2327,1
美女,2311,1
诚信,2295,1
尊敬,2290,3
材料,2289,0
李经理,2205,0
三线,2108,1
全国,2068,0
用户,2024,3
被,2024,2
冻结,2024,2
经理,2009,0
因,2008,2
可验证,2007,0
解冻,2001,2
开发票,1938,0
提示,1926,2
工商银行,1906,2
工行,1889,2
未分类,1889,2
个人信息,1889,2
按,1889,2
工程,1857,0
明星,1831,1
国内外,1824,1
低,1777,0
代,1749,0
增值,1707,0
长,1664,0
国税,1623,0
北京市,1611,0
工程款,1559,0
热线,1535,1
会计,1535,0
联系人,1525,0
谅解,1521,0
清纯,1458,1
学妹,1446,1
韩,1446,1
法意,1446,1
高端,1446,1
张,1431,0
敬请,1422,0
普增,1417,0
验证,1414,0
常年,1378,0
各行各业,1349,0
不,1331,2
税点,1317,0
代办,1305,0
姿色,1292,1
会议,1266,0
同号,1265,0
新版,1260,0
还,1254,0
专用,1254,0
广告,1245,0
优惠,1237,0
实习,1233,1
护士,1233,1
用,1230,0
增税,1229,0
长期有效,1218,0
专,1210,0
李琴,1210,0
欢迎,1207,0
北影,1185,1
来电,1110,0
代理,1056,0
走帐,1051,0
万,1045,2
多,1037,2
安装,1036,3
刻章,1033,0
办证,1029,0
查,1029,2
总价,1026,2
通州,1025,2
农家院,1025,2
一套,1025,2
年,1025,2
合同,1025,2
独门独院,1025,2
燃气,1025,2
入户,1025,2
房源,1025,2
欲购从速,1025,2
大胸,1025,1
妹意,1025,1
查询,1017,2
及,1016,0
胡涛,1001,0
请谅解,995,0
低验,980,0
佳丽,968,1
赵,966,0
用后,941,0
最近,940,2
网上,926,0
咨询,925,0
普通发票,901,0
设备,898,3
租赁,869,0
俄罗斯,865,1
公,849,0
广告设计,849,0
医疗器械,849,0
刘华,849,0
都,813,2
更,773,0
比,770,0
之前,770,0
咨询电话,763,0
房租,752,0
详询,733,0
款,731,0
多余,729,0
小时,728,2
材料费,709,0
业务,707,0
即将,707,2
建行,703,2
建设银行,703,2
通知,700,2
大额,695,0
到期,694,2
现金,693,2
喜讯,690,2
积分,690,2
清零,690,2
手机网,690,2
兑换,690,2
出售,672,0
