word,frequency,label
发票,18376,0
公司,16412,0
付款,15628,1
尊敬,15059,2
登录,14837,2
账户,14200,2
代开,13344,0
现金,13131,2
元,12534,2
积分,12503,2
兑换,12499,2
即将,12493,2
客户,12152,2
分,11906,2
小时,11876,2
到期,11862,2
清零,11862,2
网址,11862,2
农业银行,11862,2
行业,11732,0
电话,10357,0
打扰,9387,1
北京,8542,1
正规,8425,0
酒店,8273,1
公寓,7940,1
模特,7902,1
白领,7902,1
保真,6681,0
上门服务,6157,1
见谅,5285,1
满意,5251,1
洋妞,5244,1
无需,5244,1
定金,5244,1
少妇,4877,1
空姐,4877,1
低保真,4674,0
核实,4670,2
验后,4649,0
增值税,4270,0
三线,3647,1
明星,3647,1
美女,3637,1
微信,3462,0
诚信,3349,1
热线,3328,1
高端,3319,1
国内外,3316,1
清纯,3025,1
学妹,3025,1
韩,3025,1
法意,3025,1
俄,3025,1
用户,3021,2
服务,3011,1
工商银行,2968,2
学生,2881,1
机打,2880,0
材料,2706,0
提供,2523,1
联系,2501,0
工程,2449,0
因,2412,2
冻结,2396,2
被,2391,2
解冻,2391,2
不,2359,0
按,2339,2
提示,2339,2
未分类,2335,2
个人信息,2335,2
需要,2246,0
各种,2240,0
韩欧美,2219,1
工行,2209,2
恭喜发财,2139,0
年,2114,2
可验,2085,0
联系电话,2057,0
学生妹,2046,1
年代,2024,0
短信,1993,1
广告,1969,0
支票,1943,0
常年,1916,0
对外,1913,0
万,1895,0
兑现,1878,0
谅解,1846,0
国税,1838,0
走账,1797,0
上门,1749,1
按摩,1749,1
国外,1745,1
留学生,1745,1
诚电,1745,1
非城,1745,1
勿扰,1745,1
不回,1745,1
姿色,1743,1
增值,1711,0
可开,1598,0
长期,1574,0
海涵,1547,1
使用,1508,2
多,1464,2
工程款,1444,0
实习,1442,1
护士,1442,1
佳丽,1442,1
李经理,1416,0
劳务,1409,0
网上,1394,0
房源,1368,2
独门独院,1360,2
普通,1350,0
信号,1339,0
一套,1339,2
通州,1333,2
张家湾,1333,2
小院,1333,2
平米,1333,2
总价,1333,2
燃气,1333,2
入户,1333,2
欲购从速,1333,2
经理,1285,0
咨询,1163,0
常,1134,0
科技,1121,0
微,1119,0
款,1104,0
验证,1070,0
张,1066,0
王,1061,0
租赁,1061,0
均价,1049,2
抵扣,1044,0
刻章,1038,0
北京市,1023,0
专业,1018,0
先生,1017,0
胡涛,1013,0
税率,980,0
查验,976,0
發票,974,0
全国,967,0
各行各业,957,0
会计,947,0
对公,943,0
敬请,940,0
办公用品,877,0
李,870,0
王经理,855,0
票,839,0
等等,827,0
房,822,2
最低,821,0
税点,795,0
秦皇岛,781,2
海景房,781,2
金发碧眼,777,1
北影,777,1
在校学生,777,1
现在,774,2
大,754,3
低验,750,0
保留,745,0
低,735,0
长期有效,720,0
可验证,718,0
绝对,715,0
请谅解,703,0
逾期,697,2
各类,645,0
机械,640,0
点位,637,0
普通发票,636,0
即可,632,2
中国工商银行,631,2
全部,631,2
增税,624,0
房屋,624,0
以及,624,0
张婷,624,0
真,621,0
长,612,0
齐全,611,2
联系人,601,0
咨询电话,599,0
公,598,0
各个,588,0
高速,586,2
解决,570,3
开发票,565,0
限,563,2
各行,560,0
高铁,559,2
住宿,557,0
