word,frequency,label
发票,23308,0
公司,21538,0
付款,18407,1
行业,16945,0
代开,15695,0
打扰,13366,1
现金,13172,2
尊敬,12675,2
电话,12644,1
北京,12229,1
登录,11361,2
元,11057,2
兑换,11022,2
积分,11021,2
正规,11018,0
即将,11016,2
账户,9423,2
酒店,9151,1
分,9133,2
客户,9092,2
小时,9087,2
清零,9084,2
到期,9075,2
网址,9075,2
农业银行,9075,2
白领,9068,1
模特,8965,1
公寓,8530,1
保真,7034,0
上门服务,7027,1
验后,6908,0
见谅,6202,1
少妇,5847,1
空姐,5847,1
满意,5697,1
洋妞,5621,1
无需,5621,1
定金,5621,1
低保真,5611,0
微信,5222,0
走账,5058,0
支票,4567,0
兑现,4192,0
美女,4170,1
服务,4033,1
增值税,3866,0
国内外,3842,1
三线,3828,1
明星,3828,1
热线,3628,1
诚信,3505,1
工商银行,3500,2
用户,3493,2
高端,3405,1
需要,3269,0
清纯,3221,1
学妹,3221,1
韩,3221,1
法意,3221,1
俄,3221,1
逾期,3164,2
谅解,3107,0
学生,3094,1
提供,3041,1
材料,3019,0
年代,2992,0
对外,2907,0
工程,2875,0
机打,2872,0
韩欧美,2503,1
海涵,2457,1
联系电话,2457,2
各种,2405,0
对公,2371,0
联系,2333,0
办理,2327,2
学生妹,2320,1
会议,2308,0
短信,2259,1
长期,2231,0
国外,2219,1
全国,2194,0
万,2184,2
增值,2155,0
经理,2146,0
不回,2144,1
广告,2135,0
上门,2042,1
按摩,2041,1
留学生,2041,1
诚电,2041,1
非城,2041,1
勿扰,2041,1
年,2004,2
恭喜发财,2002,0
即可,1938,2
中国工商银行,1937,2
建筑,1888,0
会计,1828,0
长,1803,0
及,1796,0
先生,1795,0
高,1778,0
王经理,1766,0
不,1680,2
可开,1624,0
常年,1619,0
姿色,1535,1
专业,1513,0
国税,1391,0
额度,1366,2
普通,1366,0
北京市,1365,0
等等,1362,0
咨询,1322,0
办公用品,1311,0
请谅解,1296,0
各行各业,1295,0
提升,1291,2
使用,1280,2
护士,1275,1
平米,1274,2
实习,1273,1
佳丽,1273,1
各类,1267,0
低验,1266,0
抵扣,1220,0
科技,1199,0
常,1189,0
真,1189,0
我行,1130,2
金发碧眼,1127,1
北影,1127,1
在校学生,1127,1
租赁,1126,0
均价,1119,2
海景房,1116,2
大,1110,2
李经理,1110,0
多余,1108,0
可验证,1108,0
及时,1106,2
信用,1097,2
通州,1092,2
入户,1092,2
房,1071,2
钱,1060,0
多,1057,2
登陆,1042,2
房源,1037,2
征信,1037,2
可验,1032,0
张家湾,1032,2
小院,1032,2
一套,1032,2
独门独院,1032,2
燃气,1032,2
欲购从速,1032,2
达到,1032,2
指定,1032,2
标准,1032,2
现可,1032,2
失效,1032,2
总价,1028,2
刻章,1022,0
办证,993,0
李,976,0
限,976,2
市,975,2
起,975,2
现在,973,2
河北,972,2
全部,972,2
购买,972,2
只有,972,2
秦皇岛,972,2
产权,972,2
首付,972,2
一线,972,2
苗木,968,0
加微信,968,0
长期有效,943,0
工程款,903,0
信号,903,3
建筑工程,901,0
用,893,0
税率,890,0
公,885,0
低,872,0
胡涛,870,0
以备,859,0
急用,798,0
查验,769,0
办公,722,0
保留,721,0
房租,717,0
可公,713,0
核实,678,2
劳务,669,0
咨询服务,664,0
