word,frequency,label
发票,42935,0
公司,37172,0
行业,31312,0
代开,31128,0
付款,29820,1
电话,27070,0
我行,17901,2
登录,17724,2
尊敬,16833,2
用户,16811,2
建设银行,16621,2
账户,16291,2
元,16240,2
网址,16224,2
分,16173,2
现金,16151,2
积分,16147,2
兑换,16147,2
到期,16143,2
即将,16142,2
清零,16142,2
建行,16131,2
小时,15628,2
保真,14357,0
北京,14279,1
验后,13147,0
正规,12454,0
打扰,12016,1
增值税,8897,0
机打,8800,0
长期,8748,0
低保真,7412,0
酒店,6317,1
上门服务,5540,1
公寓,5516,1
支票,5488,0
材料,5463,0
模特,5277,1
点底,5251,0
兑现,5172,0
高,5171,0
满意,4877,1
先生,4786,0
白领,4687,1
补录,4449,2
对外,4406,0
见谅,4392,1
洋妞,4374,1
年代,4276,0
无需,4265,1
定金,4261,1
各种,4254,0
可验证,4251,0
微信,4149,0
工程,4046,0
经理,4004,0
需要,3970,2
常,3875,0
联系电话,3750,0
低,3743,0
咨询,3736,0
美女,3615,1
广告,3481,0
进行,3372,2
谅解,3240,0
可开,3232,0
咨询电话,3214,0
热线,3106,1
全国,3076,0
王经理,2861,0
抵扣,2840,0
少妇,2781,1
国内外,2777,1
高端,2777,1
学生,2769,1
会议,2726,0
提供,2697,1
普通,2633,0
验证,2623,0
诚信,2599,1
万,2551,2
三线,2528,1
明星,2527,1
工程款,2519,0
税点,2512,0
走账,2508,0
清纯,2496,1
学妹,2496,1
韩,2496,1
法意,2496,1
俄,2496,1
科技,2490,0
可验,2461,0
退订,2392,3
回,2383,3
和,2337,0
请谅解,2245,2
不,2233,2
办公用品,2204,0
国税,2191,0
北京市,2187,0
恭喜发财,2181,0
空姐,2136,1
财富,2118,3
验证码,2103,3
必填,2100,3
生态,2100,2
普通发票,2066,0
逾期,2057,2
租赁,2051,0
各行,2003,0
银行,1960,2
加微信,1937,0
苗木,1929,0
款,1882,0
韩欧美,1878,1
及,1861,0
票,1851,0
紧急通知,1807,2
实名,1797,2
常年,1758,0
手机,1709,3
等票,1692,0
真点,1692,0
赵,1692,0
女士,1692,0
李,1674,0
增值,1648,0
各行各业,1582,0
等等,1554,0
未,1554,2
农家院,1543,2
一套,1540,2
服务,1525,0
联系,1524,0
开发票,1518,0
长期有效,1517,0
王,1489,0
平米,1443,2
海涵,1436,1
吃,1416,2
菜,1416,2
冻结,1410,2
通州,1408,2
两室,1408,2
一厅,1408,2
独门独院,1408,2
远离,1408,2
尾气,1408,2
自己,1408,2
种,1408,2
机械,1406,0
以备,1401,2
分析,1397,3
对公,1396,0
张,1371,0
李经理,1352,0
作废,1336,2
民生银行,1332,2
资金,1328,2
卡内,1326,2
卡号,1326,2
查询,1312,0
者,1307,2
网上,1296,0
钱,1291,0
免费,1272,3
即,1269,3
后付费,1267,0
致电,1263,0
会计,1257,0
增税,1254,0
房屋,1254,0
以及,1254,0
张婷,1254,0
收益,1253,3
自,1252,3
人满,1252,3
老牌,1248,3
分析师,1248,3
坐镇,1248,3
营盘,1248,3
大量,1248,3
群友,1248,3
全部,1248,3
封加群,1248,3
丶,1245,0
办理,1230,0
次日,1217,2
需,1197,2
多余,1180,0
周强,1151,0
姿色,1146,1
实习,1134,1
护士,1134,1
佳丽,1134,1
专业,1117,0
急用,1099,0
大师,1099,3
房源,1094,2
