word,frequency,label
发票,35575,0
公司,33246,0
付款,23547,0
电话,23219,0
行业,22098,0
代开,21903,0
打扰,18879,1
正规,17834,0
增值税,12808,0
北京,11209,0
保真,10072,0
低保真,9172,0
见谅,8674,1
酒店,8418,1
验后,7759,0
模特,7741,1
公寓,7480,1
白领,7432,1
微信,5910,0
海涵,5902,0
上门服务,5896,1
少妇,5518,1
空姐,5518,1
普通,5471,0
广告,5469,0
长期,5442,0
机打,4831,0
服务,4815,1
恭喜发财,4700,0
对外,4666,0
支票,4616,0
科技,4576,0
走账,4409,0
材料,4382,0
各种,4362,0
等等,4336,0
兑现,4318,0
验证,4237,0
洋妞,4152,1
无需,4152,1
定金,4152,1
年代,4148,0
王经理,4124,0
满意,3826,1
美女,3702,1
对公,3618,0
低,3572,0
联系电话,3412,0
工程,3388,0
张,3299,0
经理,3258,0
国税发,3235,0
代办,3228,0
全国,3161,0
工程款,3152,0
尊敬,3084,2
专增,3058,0
用户,3056,2
常年,2940,0
常,2888,0
国内外,2862,1
工商银行,2848,2
提供,2838,1
及时,2830,2
票,2809,0
票普增,2780,0
学生,2775,1
明星,2756,1
三线,2754,1
热线,2706,2
女士,2643,0
诚信,2585,0
可开,2560,0
咨询电话,2529,0
韩,2516,0
高端,2493,1
学生妹,2375,1
国外,2375,1
咨询,2323,0
票真点,2261,0
赵,2252,0
清纯,2223,1
学妹,2223,1
法意,2223,1
俄,2223,1
短信,2172,1
价格低,2117,0
上门,2115,1
勿扰,2113,1
按摩,2110,1
留学生,2110,1
诚电,2110,1
非城,2110,1
不回,2110,1
国税,2044,0
抵扣,2040,0
租赁,2024,0
李经理,1949,0
韩欧美,1929,1
各行各业,1913,0
款,1903,0
信息,1891,0
点低,1818,0
登录,1764,2
办理,1752,0
工行,1747,2
可验证,1733,0
提示,1718,2
冻结,1713,2
谅解,1710,0
因,1709,2
被,1709,2
需要,1705,0
账号,1703,2
未分类,1703,2
核实,1703,2
个人身份,1703,2
按,1703,2
解冻,1703,2
查验,1689,0
各个,1672,0
增值,1663,0
专增点,1650,0
独门独院,1622,2
代,1610,0
业务,1581,0
专票,1573,0
餐饮,1565,0
长期有效,1553,0
请谅解,1516,0
公,1500,0
刻章,1486,2
万,1481,2
农家院,1476,2
一套,1476,2
欢迎,1469,0
养生,1462,2
专业,1446,0
张伟,1419,0
养老,1409,2
及,1398,0
通州,1395,2
生态,1395,2
两室,1395,2
一厅,1395,2
远离,1395,2
尾气,1395,2
住宿,1368,0
信号,1344,0
来电,1341,0
办证,1312,0
机械,1293,0
联系人,1289,0
税点,1280,0
多余,1267,0
开发票,1263,0
姿色,1241,1
房租,1231,0
微,1213,0
普通发票,1187,0
新版,1176,0
联系,1160,0
低验,1153,0
逾期,1152,2
北京市,1145,0
各地,1139,0
各项,1131,0
征信,1106,2
我行,1106,2
额度,1106,2
各类,1103,0
达到,1101,2
指定,1101,2
标准,1101,2
现可,1101,2
提升,1101,2
信用,1101,2
登陆,1101,2
失效,1101,2
分析,1074,3
长,1046,0
另,1037,2
同号,1036,0
安装,1030,3
包真验,990,0
实习,976,1
护士,976,1
佳丽,976,1
周先生,969,0
致电,965,0
金发碧眼,953,1
北影,953,1
在校学生,953,1
商贸,943,0
可验,921,0
以及,898,0
营改,897,0
价格,870,0
房屋,865,0
增税,864,0
