word,frequency,label
发票,40969,0
公司,39878,0
行业,28696,0
代开,28082,0
付款,26007,1
正规,21848,0
电话,20708,0
补录,20526,2
登录,19704,2
保真,15813,0
核实,15240,2
打扰,14675,1
冻结,14518,2
按,14462,2
进行,13884,2
北京,13631,1
尊敬,13516,0
验后,12267,0
账户,11027,2
低保真,10229,0
用户,9761,2
工商银行,9719,2
工行,9499,2
酒店,9470,1
增值税,9336,0
机打,9104,0
白领,9012,1
模特,8924,1
逾期,8817,2
公寓,8557,1
长期,7927,0
被,7681,2
因,7672,2
解冻,7671,2
未分类,7620,2
个人信息,7620,2
提示,7620,2
见谅,7018,1
建设银行,6853,2
建行,6847,2
紧急通知,6847,2
手机网,6847,2
作废,6847,2
国家,6842,2
法律,6842,2
规定,6842,2
实名,6842,2
者,6842,2
卡内,6842,2
资金,6842,2
卡号,6842,2
上门服务,6840,1
少妇,6186,1
空姐,6138,1
服务,6077,1
微信,6041,0
满意,5736,1
材料,5390,0
无需,5388,1
洋妞,5346,1
定金,5346,1
元,5143,2
张,5098,0
年代,5028,0
联系,5016,0
走账,5009,0
现金,4989,2
兑换,4979,2
积分,4954,2
即将,4947,2
需要,4579,0
对外,4571,0
支票,4486,0
经理,4327,0
科技,4243,0
广告,4197,0
兑现,4137,0
美女,4005,1
热线,3698,1
三线,3690,1
明星,3690,1
客户,3643,0
各种,3569,0
工程款,3564,0
国内外,3511,1
增值,3462,0
普通,3449,0
诚信,3448,1
分,3333,2
韩,3331,1
先生,3310,0
小时,3307,2
到期,3302,2
清零,3302,2
网址,3302,2
农业银行,3302,2
咨询,3274,0
学生,3199,1
工程,3196,0
北京市,3182,0
联系电话,3072,1
谅解,3030,0
清纯,3019,1
学妹,3019,1
法意,3019,1
俄,3019,1
高端,3019,1
对公,2962,0
恭喜发财,2957,0
常,2947,0
提供,2852,1
全国,2747,0
款,2705,0
国税,2651,0
短信,2647,1
海涵,2567,1
学生妹,2549,1
不回,2540,1
专业,2517,0
税点,2475,0
上门,2367,1
建筑,2365,0
高,2340,0
韩欧美,2327,1
国外,2307,1
低,2270,0
勿扰,2261,1
按摩,2259,1
留学生,2259,1
诚电,2259,1
非城,2259,1
验证,2231,0
常年,2216,0
点底,2209,0
王先生,2165,0
请谅解,2152,0
租赁,2029,0
长,1996,0
等等,1943,0
各类,1906,0
会议,1839,0
各行各业,1775,0
办理,1750,0
万,1690,2
同号,1682,0
欢迎,1658,0
普通发票,1652,0
抵扣,1643,0
会计,1631,0
即可,1621,2
姿色,1620,1
中国工商银行,1615,2
来电,1559,0
优惠,1508,0
普增,1503,0
赵,1489,0
专增,1462,0
查验,1456,0
票,1452,0
价格,1450,0
公,1435,0
低验,1422,0
如需,1391,0
年,1357,2
开发票,1344,0
王经理,1343,0
实习,1335,1
护士,1335,1
佳丽,1335,1
刻章,1327,0
敬请,1312,0
网上,1295,0
建筑材料,1288,0
可验,1284,0
办证,1267,0
多余,1237,0
服务费,1209,0
李经理,1198,0
咨询电话,1169,0
安装,1165,3
各项,1160,0
办公用品,1157,0
劳务,1152,0
新版,1138,0
税额,1138,0
及,1138,0
不,1137,0
查询,1133,0
票务,1126,0
专用,1104,0
点低,1104,0
业务,1088,3
出售,1067,0
永久,1019,0
详询,1016,0
胡涛,1012,0
代,1011,0
加油,996,0
费,996,0
信号,996,0
