word,frequency,label
公司,8098,0
电话,7361,0
发票,5982,0
行业,4836,0
付款,4662,0
代开,4053,0
低保真,3425,0
正规,3002,0
微信,2756,0
联系电话,2744,0
一,2744,2
打扰,2520,0
现房,2238,2
北京,2125,0
房源,1947,2
不,1941,2
平米,1933,2
长期,1916,0
有意,1914,2
交通,1911,2
验后,1909,0
保真,1908,0
多,1907,2
从速,1904,2
亦庄,1901,2
精装修,1901,2
便利,1901,2
年代,1621,0
平一居,1558,2
增值税,1488,0
常,1445,0
验证,1424,0
全国,1395,0
对外,1205,0
王经理,1198,0
海涵,1197,0
各地,1138,0
同号,1100,0
代,1095,0
国税发,1074,0
代办,1063,0
票普增,1058,0
专增点,1058,0
普通,1037,0
各种,1027,0
材料,1019,0
开发票,1010,2
机打,1008,0
可验,976,0
经理,930,2
王,824,0
恭喜发财,823,0
款,797,0
专业,731,0
办公用品,726,0
需要,717,0
住宿费,716,0
房租费,716,0
号线,674,2
张文,610,0
还,605,2
保证,595,0
致电,577,0
普通发票,542,0
网查,541,0
首付,521,2
户型,520,2
到,518,2
全新,515,2
详情,509,2
全明,507,2
敬请,499,0
孔雀,498,2
城,498,2
京西,498,2
又,498,2
立作,498,2
均价,498,2
平民,498,2
万买居,498,2
信用卡,494,2
低,487,2
点低,483,0
价格,469,0
见谅,448,3
及,442,0
安装,442,3
联系,439,0
提供,436,2
上门服务,431,2
所,429,2
美女,429,2
本会,428,2
酒店,428,2
周涛,425,0
李,421,0
联系人,409,0
专用,404,0
抵扣,402,0
刘,400,2
卫星电视,384,3
凤凰,384,3
新闻,384,3
手机信号,384,3
放大器,384,3
带,380,0
会计,357,0
产权,351,2
东二环,351,2
办理,347,0
年,343,2
平,343,2
居室,343,2
紧邻,342,2
咨询电话,341,2
大,338,2
出售,337,2
外,337,2
每平米,337,2
地铁,337,2
通话,337,3
看,330,3
解决,327,3
中视,326,3
票房,326,3
影院,326,3
地理,326,3
探索,326,3
信号,326,3
弱,326,3
断续,326,3
回,326,3
退订,326,3
常年,317,0
代理,314,0
各个,312,0
链接,312,0
谅解,304,0
普票,282,0
真票,282,0
长期有效,282,0
工程款,276,0
朱,268,0
做,266,3
费,249,0
兑现,248,0
走账,246,0
支票,246,0
钱,246,0
税务,244,0
交通银行,243,2
找,237,0
为,236,0
点底,234,0
尊敬,232,2
帐,231,0
报销,231,0
不到,231,0
长,228,0
而,226,0
发愁,226,0
给你个,226,0
同步,226,0
他家,226,0
长年,226,0
绝对,226,0
而且,226,0
被,215,2
急用,206,0
以备,205,0
薛经理,205,0
广告,205,0
国税,204,0
可验证,204,0
周强,204,0
会议,200,0
网上,198,0
客服,195,2
科技咨询,195,0
营,185,0
改增,185,0
张震,185,0
逾期,179,2
冻结,174,2
张,168,0
详询,167,0
老板,165,0
如有,165,0
请原谅,165,0
专用发票,162,0
还款,161,2
因,160,2
请谅解,158,0
税点底,157,0
开机,156,0
保留,152,0
爱慕,148,3
内衣,148,3
生活馆,148,3
垫,148,2
