word,frequency,label
发票,29601,0
公司,26062,0
付款,23712,1
行业,23015,0
电话,18700,0
代开,18355,0
打扰,16810,1
正规,14899,0
北京,14433,1
增值税,11512,0
低保真,10665,0
酒店,9479,1
模特,9116,1
白领,9041,1
验后,8715,0
保真,8710,0
见谅,8708,1
公寓,8666,1
微信,7599,0
机打,6269,0
少妇,6245,1
空姐,6245,1
上门服务,5517,1
满意,5264,1
年代,5157,0
普通,5123,0
无需,5122,1
定金,5122,1
常,4008,0
诚信,3932,1
洋妞,3905,1
长期,3780,0
美女,3695,1
上门,3618,1
三线,3577,1
需要,3512,0
税点,3500,0
可验,3394,0
海涵,3274,0
低,3273,0
服务,3262,1
学生,3260,1
国内外,3246,1
明星,3234,1
清纯,3204,1
联系电话,3114,0
热线,3023,1
联系,2983,0
恭喜发财,2874,0
学妹,2871,1
韩,2871,1
法意,2871,1
俄,2871,1
高端,2871,1
学生妹,2848,1
短信,2843,1
按摩,2838,1
国外,2838,1
留学生,2838,1
诚电,2838,1
非诚,2838,1
勿扰,2838,1
不回,2838,1
各种,2791,0
走账,2750,0
支票,2577,0
兑现,2577,0
王经理,2559,0
对外,2553,0
提供,2472,1
不,2466,0
工程,2465,0
材料,2384,0
票,2292,0
韩欧美,2251,1
经理,2172,0
谅解,2139,0
张,2037,0
会计,2005,0
请谅解,1999,0
对公,1966,0
李经理,1916,0
广告,1824,2
各行各业,1814,0
年,1695,2
农家院,1677,2
多,1661,2
独门独院,1649,2
万,1639,2
通州,1630,2
一套,1628,2
房源,1626,2
合同,1625,2
燃气,1625,2
入户,1625,2
欲购从速,1625,2
总价,1622,2
多余,1606,0
低验,1591,0
新版,1543,0
李女士,1518,0
或加,1518,0
专用,1490,0
增值,1489,0
咨询,1481,0
联系人,1446,0
验证,1432,0
国税,1425,0
专业,1413,0
全国,1402,0
欢迎,1393,3
姿色,1377,1
可开,1360,0
办理,1291,0
北京市,1275,0
代,1271,0
开发票,1271,0
金发碧眼,1217,1
北影,1217,1
普通发票,1165,0
长,1149,0
發票,1140,0
等等,1139,3
李,1136,0
账户,1115,2
常年,1097,0
科技,1082,0
长期有效,1081,0
普增,1056,0
护士,1039,1
实习,1034,1
佳丽,1034,1
信号,1032,0
公,1019,0
点低,1001,0
在校学生,999,1
尊敬,991,2
保留,961,0
来电,953,3
敬请,952,0
进行,932,2
登录,924,2
认证,915,2
同号,914,0
可用,900,0
微,886,0
用户,885,2
以备,873,0
工程款,861,0
用后,858,0
永久,856,0
优惠,830,0
俄罗斯,813,1
合作,811,0
科技咨询,795,0
等点,795,0
冻结,779,2
逾期,777,2
外地,775,0
可验证,774,0
租赁,774,0
设备,768,0
会议,768,0
信用卡,766,2
价低,750,0
张伟,750,0
刘,749,0
广告设计,738,0
医疗器械,738,0
刘华,738,0
出售,738,0
都,717,0
还,704,3
机,703,0
营改,700,0
打发,698,0
咨询电话,696,0
服务员,686,1
抵扣,685,0
实名,681,2
刻章,680,0
最近,676,0
现在,674,3
均价,674,3
国家,671,3
大力发展,671,3
东戴,671,3
河定,671,3
位于,671,3
海岸,671,3
中关村,671,3
海景房,671,3
考虑,671,3
什么,671,3
呢,671,3
王先生,640,0
急用,636,0
专用发票,633,0
用,622,2
先生,614,0
