word,frequency,label
尊敬,15253,2
用户,15166,2
建设银行,15156,2
建行,15153,2
元,14147,2
兑换,14099,2
即将,14094,2
积分,14091,2
小时,14089,2
分,14086,2
到期,14084,2
登录,14084,2
现金,14083,2
我行,14082,2
清零,14081,2
网址,14081,2
公司,12960,0
账户,9941,2
发票,9710,0
电话,8789,0
行业,7926,0
付款,7604,0
代开,6346,0
正规,5320,0
微信,4836,0
低保真,4728,0
打扰,4155,0
帐户,4145,2
北京,3757,0
验后,2724,0
长期,2710,0
机打,2533,0
保真,2455,0
对外,2197,0
年代,2187,0
联系电话,2135,0
常,2061,0
海涵,2013,0
可验,1982,0
谅解,1974,0
王经理,1864,0
常年,1586,0
敬请,1488,2
点底,1474,0
各种,1455,0
广告,1378,0
低验,1336,0
支票,1324,0
兑现,1324,0
可开,1264,0
材料,1200,0
增值税,1195,0
增值,1188,0
验证,1172,0
见谅,1159,0
银行,1157,2
查询,1130,0
逾期,1130,2
进行,1092,2
请登入,1078,2
手机,1076,2
失效,1072,2
实名,1072,2
补录,1072,2
冻结资金,1072,2
不便,1072,2
全国,1068,0
代办,1068,0
专增点,1064,0
国税发,1039,0
票普增,1039,0
同号,1028,0
经理,1004,0
税点,989,0
诚信,974,0
工程,932,0
上门服务,931,2
少妇,930,2
多余,922,0
合作,917,0
外开,917,0
科技,824,0
飘,811,0
据点,811,0
点低,802,0
普通发票,796,0
恭喜发财,793,0
提供,777,1
美女,776,1
空姐,776,1
学生妹,776,1
租赁,773,0
联系,759,2
普通,742,0
咨询电话,721,2
工程款,710,0
劳务,694,0
李,690,0
走账,670,0
过,659,0
带,651,0
详询,644,0
办理,643,2
各地,634,0
及,625,0
款,621,0
专用发票,611,0
朋友,591,0
长期有效,567,0
谢谢,565,0
网上,563,0
王,557,0
服务,540,0
张文,529,0
请谅解,525,0
到,501,2
周涛,497,0
全新,463,2
城,452,2
京西,452,2
联系人,450,0
均价,442,2
首付,442,2
孔雀,437,2
又,434,2
详情,433,2
致电,431,2
一,430,2
立作,430,2
平民,430,2
全明,430,2
户型,430,2
万买居,430,2
需要,422,0
办公用品,413,0
各行,403,0
票,396,0
会议,395,0
酒店,383,2
税率,381,0
低可验,381,0
设备,381,0
餐饮,380,0
增税,378,0
房屋,378,0
机械,378,0
以及,378,0
张婷,378,0
住宿,375,0
广告设计,375,0
医疗器械,375,0
对公,375,0
刘华,375,0
会计,360,0
国税,360,0
地税,360,0
永久,357,0
贷款,341,2
刘,338,2
信用卡,335,2
都,333,2
钱,304,0
还款,297,2
北京市,288,0
抵押,285,2
李经理,283,0
无,281,2
专业,278,0
详询范,275,0
查,262,0
急用,261,2
新票,258,0
老票,258,0
以备,255,0
付,251,0
电赵,251,0
咨询,247,0
建材,235,0
小,228,0
周,227,0
营,226,0
改增,226,0
长年,224,0
负责,224,0
开个,224,0
开發票,224,0
可查,224,0
短信,222,0
抵扣,221,0
开增,220,0
埴,220,0
税,220,0
如扰,218,0
张,218,0
保留,214,0
套现,212,0
代发,212,0
商业,212,0
代理,207,0
各个,207,0
