word,frequency,label
发票,10622,0
公司,9640,0
电话,7794,0
行业,5843,0
代开,5208,0
正规,4899,0
付款,4842,0
增值税,3380,0
北京,2833,0
打扰,2609,0
核实,2494,2
生态,2448,2
保真,2403,0
微信,2342,0
验后,2313,0
年代,2312,0
低保真,2282,0
万,2085,2
常,2050,0
农家院,1969,2
一套,1969,2
独门独院,1969,2
联系电话,1695,2
对外,1490,0
各种,1474,0
普通,1419,0
王经理,1314,0
经理,1303,0
张,1289,0
信息,1281,2
登录,1261,2
因,1258,2
被,1258,2
冻结,1258,2
解冻,1258,2
提示,1252,2
用户,1251,2
工商银行,1251,2
账户,1250,2
工行,1247,2
未分类,1247,2
个人身份,1247,2
按,1247,2
不,1221,2
对公,1218,0
等等,1214,0
材料,1138,0
通州,1126,2
全国,1081,0
验证,1077,0
房源,1047,2
长期,1046,0
多,1031,2
两室,1030,2
一厅,1030,2
欲购从速,1030,2
海涵,1013,0
常年,968,0
专业,944,0
大兴区,939,2
远离,939,2
尾气,939,2
吃,939,2
自己,939,2
种,939,2
菜,939,2
刘,892,0
可开,887,0
各行各业,880,0
走账,878,0
普通发票,862,0
公,861,0
咨询,841,0
科技,824,0
李经理,818,0
同号,765,0
见谅,711,0
支票,708,0
兑现,708,0
国税,678,0
广告,666,0
机打,659,0
工程,657,0
业务,632,0
各类,628,0
联系人,620,0
低,618,0
代办,602,0
京南,592,2
信号,586,3
点位,585,0
均价,583,2
致电,572,0
增值,562,0
票,546,0
请谅解,544,0
欢迎,542,0
来电,531,0
及,525,0
国税发,521,0
各地,512,0
需要,506,0
大,504,2
首付,487,2
详情,484,2
产权,482,2
百亩,479,2
大盘,479,2
万买,479,2
居年,479,2
直达,479,2
各个,462,0
谢谢,456,0
工程款,441,0
查询,423,0
走帐,421,0
可验,405,0
点底,399,0
微,394,0
代理,383,0
联系,380,0
专用发票,354,0
税点底,353,0
建筑工程,349,0
以备,348,0
急用,347,0
带,344,0
点低,344,0
保证,344,0
李,344,0
房租,325,0
会计,324,0
办公用品,319,0
抵扣,316,0
票普增,313,0
专增点,313,0
开发票,309,0
网上,294,0
出售,289,0
杨经理,284,0
代,282,0
低验,281,0
各行,270,0
款,263,0
长,262,0
专增,259,0
税点,255,0
提供,250,1
敬请,248,0
信用卡,246,2
绝对,244,0
公寓,241,1
国内,239,1
国外,239,1
美女,239,1
酒店,239,1
上门服务,239,1
长年,232,0
办理,231,0
可公,230,0
还,225,2
多余,224,0
保留,221,0
费,221,0
平米,220,2
加油,219,0
会议,219,0
营改,218,0
增发,218,0
先验,218,0
票后,218,0
查验,214,0
起,212,2
餐饮,210,0
上网,208,0
外开,205,0
钱,205,0
刻章,202,0
取现,196,2
垫,196,2
住宿,196,0
办证,196,0
回,195,3
退订,195,3
老板,194,0
中视,192,3
安装,192,3
卫星电视,192,3
看,192,3
凤凰,192,3
新闻,192,3
票房,192,3
影院,192,3
地理,192,3
探索,192,3
手机信号,192,3
放大器,192,3
解决,192,3
弱,192,3
通话,192,3
