time,票据推销,色情欺诈,卡贷诱骗,商务广告
125,66,0,0,0
127,21,0,4,0
128,48,0,0,0
129,69,0,0,0
131,47,0,37,0
132,22,0,47,0
133,40,0,36,0
134,16,0,70,6
135,56,0,81,0
136,132,0,72,0
137,102,0,31,0
138,53,0,66,2
139,84,0,18,0
140,66,0,5,0
142,66,0,15,0
143,37,0,8,0
144,36,6,64,0
145,30,0,39,10
146,20,0,59,1
147,29,0,46,0
149,19,0,30,0
150,0,0,68,0
151,41,0,57,4
152,18,0,46,16
153,36,0,144,0
154,37,0,80,0
155,30,0,96,0
156,18,0,70,7
157,20,0,104,4
158,23,0,94,0
159,47,0,22,17
160,42,0,99,5
