time,票据推销,色情欺诈,卡贷诱骗,商务广告
79,37,0,0,0
81,22,0,0,0
83,20,0,0,0
84,25,0,0,0
85,46,0,0,0
86,47,0,3,0
87,55,0,0,0
88,53,0,2,0
89,25,0,1,0
90,33,0,0,0
92,26,0,1,0
93,28,0,0,0
94,61,0,3,0
95,40,0,34,0
96,93,0,0,0
97,131,0,0,0
98,117,0,0,0
99,130,0,1,0
100,75,0,2,0
101,97,0,5,0
103,35,0,0,0
104,39,0,0,0
105,110,0,0,3
106,44,0,4,0
107,80,0,0,0
108,72,0,3,0
109,86,0,3,0
110,117,0,0,0
111,86,0,3,0
112,154,0,0,0
113,96,0,2,0
114,36,9,0,1
115,53,0,0,2
116,77,0,0,13
117,187,0,0,0
118,180,0,1,0
119,122,0,0,0
120,124,0,1,0
121,132,0,18,0
122,89,0,67,1
123,56,0,123,0
124,94,0,44,1
125,120,0,101,0
126,84,0,136,1
127,101,0,215,0
128,46,0,160,0
129,39,0,227,12
130,1,0,136,4
132,47,0,110,0
133,36,0,94,15
134,31,0,45,0
136,16,0,75,4
139,17,0,106,0
140,9,0,131,23
141,24,0,126,7
142,16,0,113,0
143,29,0,169,0
145,46,0,92,0
146,15,0,58,0
147,69,0,98,0
148,36,0,93,0
149,33,0,34,0
150,40,0,38,0
151,23,0,57,0
