time,票据推销,色情欺诈,卡贷诱骗,商务广告
102,33,0,0,0
105,64,0,0,0
106,30,0,0,0
107,31,0,0,0
108,68,0,0,0
110,81,0,0,0
111,74,0,0,1
112,67,0,1,0
113,57,0,0,0
114,59,0,0,0
116,81,0,0,0
117,87,0,0,0
118,92,0,0,2
119,108,0,0,0
120,70,0,2,1
121,84,0,4,0
122,123,0,1,2
123,84,0,2,1
124,65,0,2,1
125,71,0,7,1
126,72,0,1,0
127,48,0,7,1
129,79,0,25,1
130,55,0,1,0
131,74,0,6,0
132,57,0,5,0
134,48,0,3,0
135,56,0,3,0
136,65,0,2,0
137,84,0,10,0
138,92,0,9,0
139,55,0,6,0
140,70,0,10,0
141,56,0,2,0
142,85,4,4,0
143,28,0,3,4
145,19,0,12,0
146,32,0,8,0
147,17,0,5,0
148,49,0,1,0
149,70,0,5,0
152,33,0,10,0
156,25,0,24,0
