4-08
0,112,0,0
0,34,0,0
0,88,0,0
0,111,0,0
0,83,0,0
0,36,0,0
0,12,0,0
0,84,0,0
0,108,1,0
0,64,0,0
0,57,0,0
0,57,0,0
0,79,0,0
0,113,0,0
0,168,0,0
0,105,0,0
0,116,0,0
0,27,0,0
0,29,0,0
0,86,0,0
0,28,0,0
0,128,0,0
0,86,0,1
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,0
0,0,0,0
10,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0,0,0
0,0,0,0
0,0,0,0
9,0,5,0
4,0,0,0
16,0,0,0
29,0,0,0
13,0,0,1
0,0,0,0
32,0,0,0
32,0,0,0
25,0,0,0
43,0,0,0
40,0,0,0
46,0,0,0
95,0,0,0
85,0,0,0
101,0,0,0
127,0,0,0
72,0,0,0
57,0,0,0
56,0,0,0
116,0,0,0
102,4,0,5
77,0,0,5
126,0,5,24
209,0,0,10
155,0,8,0
258,0,4,3
150,0,10,0
185,0,10,4
191,0,34,5
188,0,15,0
107,0,10,0
115,0,10,0
123,0,0,0
74,0,1,0
128,0,7,0
143,0,5,0
167,0,32,0
97,0,10,0
121,0,1,0
104,0,1,0
85,0,18,0
100,0,10,0
155,0,22,0
164,0,43,0
111,0,32,0
108,0,30,0
110,0,51,0
108,0,44,2
168,0,55,0
114,0,87,0
166,0,139,0
151,2,73,3
160,0,94,0
96,0,133,2
122,0,99,0
110,0,147,0
110,0,75,0
173,0,79,2
77,0,64,3
128,0,107,13
210,0,144,0
101,0,153,5
173,0,92,10
92,0,77,4
159,0,172,6
89,0,114,9
92,0,139,24
87,0,79,7
56,0,140,0
78,0,96,0
95,0,73,14
117,0,81,14
124,0,65,5
98,0,63,6
142,0,35,18
137,0,22,40
168,0,59,17
119,0,94,6
159,0,159,29
129,0,37,5
189,0,70,26
185,0,52,8
137,0,87,0
112,0,80,0
131,0,87,0
109,0,96,0
111,0,90,0
101,0,23,0
153,0,42,4
153,0,24,0
148,0,20,0
115,0,13,0
136,0,55,0
86,0,38,1
151,0,46,0
107,0,36,0
123,0,48,3
84,0,35,6
97,0,25,0
126,0,50,0
136,0,33,10
85,0,79,0
104,0,121,0
66,0,105,11
73,0,161,1
79,0,105,16
75,0,104,0
56,0,55,5
81,0,134,5
66,0,173,0
84,0,36,15
113,0,105,10
72,0,142,3
94,0,110,0
41,0,120,0
56,0,80,0
114,0,55,0
80,0,68,0
85,0,125,0
136,0,88,5
100,0,67,0
126,0,143,6
87,0,93,11
101,0,144,0
159,0,125,10
157,0,74,6
102,0,97,12
115,0,170,4
158,0,126,17
146,0,127,7
116,0,87,9
172,0,165,15
148,0,85,5
78,0,90,0
156,0,22,12
196,0,45,5
174,0,73,0
93,0,48,5
140,0,41,7
336,0,45,10
230,0,158,4
240,0,84,10
190,0,157,21
331,0,43,23
206,0,42,3
244,0,120,13
296,0,89,14
204,0,33,2
225,20,35,18
291,6,34,52
254,17,74,14
169,13,85,34
192,11,60,29
205,17,28,34
221,6,84,12
165,43,60,0
118,137,4,4
175,155,15,1
210,164,44,2
235,144,32,4
148,77,24,0
271,243,15,2
195,210,4,0
219,117,12,2
143,161,0,6
153,129,23,1
144,226,12,0
116,93,28,0
94,115,11,0
151,261,6,0
137,169,18,0
132,129,5,0
68,249,28,0
76,107,18,0
83,148,39,1
84,240,11,0
94,260,10,1
35,152,5,0
34,159,4,0
32,95,0,1
52,106,0,0
39,220,5,0
12,180,1,0
16,100,5,0
20,98,9,0
12,114,5,0
22,76,10,0
43,78,17,0
26,111,2,1
20,108,10,3
37,142,8,0
18,80,0,2
39,47,14,2
21,134,0,0
44,101,5,0
14,85,7,2
4,178,0,2
18,150,9,0
9,108,2,1
13,39,5,12
10,73,1,0
20,150,2,0
6,216,2,0
0,190,0,0
5,134,0,0
3,158,0,0
27,25,0,0
10,49,0,0
14,62,0,0
22,80,0,0
5,75,0,0
0,23,0,0
0,51,0,0
0,45,0,0
0,36,0,0
0,59,0,0
