time,票据推销,色情欺诈,卡贷诱骗,商务广告
220,22,0,2,0
221,34,0,8,0
222,85,9,13,0
223,113,20,24,0
224,148,0,14,0
225,73,25,4,0
226,107,11,50,4
227,175,21,112,6
228,217,57,65,0
229,162,93,49,9
230,171,105,32,2
231,144,168,8,0
232,196,154,28,0
233,213,69,59,4
234,100,86,68,0
235,167,191,9,2
236,102,87,41,0
237,120,87,53,0
238,183,242,38,0
239,135,169,53,0
240,174,71,42,0
242,102,89,99,0
243,72,148,21,4
245,112,36,0,0
246,83,55,1,0
247,91,72,0,0
248,57,81,0,0
249,75,73,0,4
250,94,94,0,0
251,38,82,0,0
252,45,94,0,0
255,56,84,2,0
257,26,35,0,0
258,8,42,0,0
260,18,74,0,0
263,26,41,6,0
264,4,68,58,0
265,0,83,0,0
267,4,101,0,0
