time,票据推销,色情欺诈,卡贷诱骗,商务广告
81,38,0,0,0
82,26,0,0,0
83,61,0,0,0
84,70,0,0,0
85,46,0,0,0
86,75,0,0,3
87,65,0,0,0
88,82,0,0,1
89,147,0,0,0
90,150,0,0,1
91,99,0,0,0
92,151,0,0,0
93,119,0,0,0
94,81,0,0,0
96,107,0,0,0
98,125,0,0,1
99,146,0,0,0
100,99,0,4,0
101,68,0,0,0
102,250,0,0,0
103,280,0,0,0
104,83,0,0,0
106,79,0,0,1
108,122,0,0,12
109,204,0,0,9
110,147,0,0,1
111,167,0,4,1
112,147,0,2,1
113,184,0,0,2
114,129,0,0,2
115,64,0,1,1
116,49,0,3,1
117,49,0,2,0
118,52,0,15,2
120,95,0,36,0
121,35,0,73,13
122,49,0,75,1
123,68,0,211,20
124,59,0,165,9
125,85,0,171,8
126,59,0,140,13
127,59,0,187,15
128,49,0,108,24
129,36,0,103,39
130,59,0,56,54
133,84,0,34,1
134,103,0,76,5
136,41,0,47,0
138,25,0,56,3
139,66,0,44,9
140,66,0,58,2
142,23,0,51,2
143,10,0,76,1
