time,票据推销,色情欺诈,卡贷诱骗,商务广告
179,6,0,25,0
181,15,0,30,0
184,3,0,39,0
185,21,0,24,0
187,27,0,59,0
188,15,0,23,0
189,26,0,78,0
190,20,0,131,0
192,19,0,101,0
194,11,0,47,0
195,21,0,37,7
198,31,0,106,1
199,28,0,86,0
200,18,0,87,6
201,31,0,205,2
202,62,0,123,1
203,35,0,128,1
204,25,0,182,1
205,3,0,185,0
206,18,0,86,0
207,3,0,101,0
208,13,0,46,0
209,49,0,178,0
210,101,0,24,0
211,108,0,58,0
213,166,0,5,0
214,209,0,4,0
215,137,0,21,0
218,85,0,60,0
219,114,0,61,0
220,78,0,61,0
221,80,0,42,0
222,119,0,48,0
223,150,51,68,0
224,113,129,38,0
225,98,257,53,1
226,17,128,14,0
227,48,104,11,0
228,121,74,10,0
229,133,306,14,0
230,85,117,5,2
231,45,100,1,1
232,94,127,0,0
233,24,108,0,0
234,57,75,0,0
235,40,114,0,0
236,68,78,0,0
237,35,112,0,0
239,19,126,0,0
240,16,92,0,0
241,23,136,0,0
242,62,113,0,0
244,34,129,3,0
245,1,164,0,0
246,4,113,0,0
248,4,95,0,0
249,6,154,0,0
251,0,80,0,0
252,0,31,0,0
254,0,60,0,0
255,0,83,1,0
