time,票据推销,色情欺诈,卡贷诱骗,商务广告
150,15,0,13,0
151,13,0,16,4
152,4,0,0,0
154,18,0,5,3
155,19,0,6,0
156,30,0,4,0
157,6,0,27,12
158,17,0,134,8
159,15,0,114,20
161,11,0,60,9
165,0,0,28,3
167,12,0,34,16
168,16,0,70,24
169,5,0,84,0
170,0,0,56,0
171,0,0,106,0
172,5,0,70,5
173,12,0,71,27
174,9,0,15,18
175,54,0,36,2
176,44,0,55,0
177,17,0,88,5
178,30,0,71,1
179,35,0,20,0
183,28,0,88,0
184,5,0,234,0
185,14,0,152,0
186,22,0,248,2
187,42,0,135,0
188,18,0,178,0
189,22,0,156,2
190,27,0,68,0
191,43,0,41,0
192,26,0,47,28
193,46,0,61,14
194,107,0,55,5
195,23,0,74,5
196,66,0,125,0
197,75,0,64,13
198,77,0,46,8
199,102,0,34,0
200,13,0,22,0
