time,票据推销,色情欺诈,卡贷诱骗,商务广告
171,12,0,48,0
173,15,0,128,0
174,2,0,29,0
175,9,0,30,0
176,23,0,31,0
177,20,0,52,0
178,20,0,40,1
179,4,0,35,0
183,33,0,100,0
184,30,0,65,0
185,28,0,42,2
186,11,0,54,5
187,21,0,45,0
188,38,0,26,1
189,23,0,30,1
190,30,0,96,1
191,40,0,75,0
192,41,0,28,0
193,35,0,49,0
195,90,0,55,1
196,54,0,41,0
197,86,0,31,0
198,102,0,84,0
199,110,0,91,2
200,68,0,37,0
201,30,0,84,0
202,83,0,75,3
203,121,0,76,0
204,112,0,136,5
205,133,0,143,8
206,162,0,131,2
207,79,0,147,0
208,68,0,104,2
209,180,0,95,0
210,150,0,75,0
211,115,0,96,2
212,121,0,39,0
213,133,0,34,0
215,177,0,70,0
217,224,0,127,1
218,149,0,123,0
219,196,0,50,0
220,234,0,36,1
221,174,0,21,0
223,148,0,81,0
224,126,0,93,0
226,186,0,6,1
