time,票据推销,色情欺诈,卡贷诱骗,商务广告
111,7,0,31,0
112,0,0,46,0
113,4,0,58,0
114,0,0,26,0
115,12,0,55,0
116,28,0,43,0
117,16,0,123,0
118,17,0,80,0
119,32,0,60,1
120,52,0,53,0
121,27,0,148,0
122,41,0,57,0
123,40,0,76,0
124,25,0,112,0
125,36,0,89,0
126,36,0,143,4
127,18,0,148,2
128,40,0,203,3
129,8,0,172,0
130,77,0,207,2
131,62,0,177,0
132,107,0,75,0
133,109,0,151,5
135,59,0,51,8
136,39,0,91,4
138,96,0,55,1
139,44,0,88,1
140,27,0,84,0
141,18,0,104,2
142,20,0,64,0
143,14,0,96,2
144,55,0,124,5
146,51,0,114,0
148,9,0,106,6
149,12,0,103,19
150,13,0,37,0
151,24,0,81,1
152,23,0,119,11
154,32,0,83,1
155,34,0,84,19
156,21,0,45,3
160,25,0,76,2
161,32,0,79,0
163,24,0,79,2
164,24,0,83,3
165,32,0,114,2
166,26,0,54,1
167,0,0,48,0
168,7,0,38,0
169,39,0,40,0
170,10,0,35,0
171,44,0,33,3
172,43,0,48,0
173,16,0,15,0
175,13,0,18,4
176,40,0,25,0
178,28,0,25,0
179,30,0,54,3
181,28,0,45,0
185,36,0,19,7
