time,票据推销,色情欺诈,卡贷诱骗,商务广告
199,35,0,17,0
200,48,0,0,0
201,38,0,8,1
202,77,0,8,0
203,17,0,0,1
204,56,0,0,0
205,44,0,0,0
206,69,0,0,0
207,64,0,1,0
209,48,0,0,0
213,147,0,17,0
216,147,0,0,0
218,166,0,13,0
219,163,0,25,0
220,149,0,0,0
222,152,0,13,0
223,134,0,5,2
224,171,20,13,1
225,198,4,5,0
228,102,55,4,0
231,158,146,28,0
232,214,49,44,0
233,192,162,17,0
234,104,237,55,0
235,127,87,44,0
236,127,64,47,5
237,44,157,12,5
238,41,105,1,0
241,60,149,0,0
242,72,211,0,0
243,115,104,4,0
244,107,165,7,0
245,197,156,0,0
246,117,60,0,0
247,85,103,0,0
248,32,100,0,0
249,59,89,0,0
250,33,72,0,0
251,50,59,0,0
252,40,54,0,0
253,30,91,0,0
254,22,57,0,0
255,14,79,0,0
256,21,104,0,0
257,15,71,0,0
258,15,67,1,0
259,43,83,0,0
260,20,80,0,0
261,26,137,0,0
262,28,141,0,0
264,9,97,0,0
265,8,182,0,0
266,20,163,0,0
267,12,203,1,10
268,22,102,1,2
269,23,160,0,0
270,16,55,0,0
271,9,67,0,0
272,17,63,0,0
273,5,115,0,0
274,0,102,0,0
275,8,37,0,0
276,10,43,0,0
277,4,51,0,0
278,0,87,1,0
279,12,51,0,0
280,0,48,1,0
281,12,62,0,0
282,0,132,0,0
283,0,82,0,0
284,0,27,0,0
285,4,113,0,0
286,4,22,0,0
287,0,77,0,0
