time,票据推销,色情欺诈,卡贷诱骗,商务广告
178,20,8,5,7
180,19,10,10,3
182,26,14,0,0
183,10,16,12,2
184,35,0,2,10
185,32,21,38,21
186,24,0,10,9
187,33,0,13,5
189,21,7,68,17
190,27,4,105,2
191,42,0,104,10
192,27,0,99,12
193,30,0,125,19
195,37,0,42,0
198,44,0,127,0
199,34,0,93,12
200,48,4,95,0
201,51,0,142,1
202,42,0,107,0
203,53,0,82,0
205,62,0,72,0
206,71,0,45,0
207,44,0,30,0
209,50,0,182,0
210,78,0,79,4
211,101,0,101,5
212,72,0,92,2
214,9,0,125,2
215,44,0,81,0
216,65,0,152,0
218,108,0,66,0
219,108,0,92,1
221,138,0,79,0
222,86,0,104,1
223,89,0,52,2
224,60,0,141,0
227,124,90,115,2
228,67,20,61,0
229,55,23,58,0
230,50,49,40,0
231,75,85,4,0
232,87,24,71,1
233,60,39,68,2
234,52,66,89,0
236,20,99,5,7
237,45,73,16,0
238,44,82,16,0
239,54,113,3,0
240,22,116,0,0
241,60,136,0,3
242,62,182,0,0
243,55,46,3,2
244,87,27,2,0
245,57,169,5,2
246,70,103,5,0
247,62,64,0,0
248,73,95,1,6
249,75,160,1,4
250,10,178,1,1
251,48,134,0,1
252,19,47,0,4
253,45,96,0,4
254,34,92,0,11
255,27,91,0,0
256,22,53,0,0
257,31,49,0,0
258,6,63,0,0
259,1,22,0,0
260,3,30,16,6
261,8,155,4,0
262,4,123,0,0
263,8,46,0,0
264,14,66,0,0
265,17,9,0,0
266,20,14,0,0
267,4,57,0,0
268,12,28,0,0
269,0,45,5,0
270,0,54,0,0
271,0,82,0,0
272,5,156,0,0
273,0,120,0,0
274,2,45,0,0
275,1,53,0,0
276,0,39,0,0
277,0,124,4,0
278,0,71,10,0
279,0,6,0,0
280,0,58,0,0
281,0,59,0,0
282,9,17,8,0
283,0,17,0,0
284,0,51,0,0
285,0,27,0,0
286,0,18,0,0
287,0,52,5,0
