time,票据推销,色情欺诈,卡贷诱骗,商务广告
122,31,0,0,0
123,10,0,0,0
124,35,0,0,0
125,18,0,27,0
126,53,0,52,0
127,30,0,0,0
128,64,0,62,0
129,101,0,16,0
132,11,0,53,0
133,23,0,25,0
136,37,0,106,0
139,79,0,43,2
140,55,0,55,0
141,23,0,87,0
143,69,0,12,0
145,44,0,49,2
146,50,0,60,0
147,30,0,40,0
148,99,0,0,0
149,100,0,4,0
153,93,0,23,0
154,77,0,76,0
157,78,0,60,0
158,81,0,72,0
159,53,0,91,0
160,49,0,84,0
161,17,0,33,0
163,37,0,150,0
164,20,0,29,0
166,13,0,54,0
167,21,0,49,0
168,19,0,17,0
169,38,0,55,0
170,25,0,37,0
171,15,0,43,0
172,8,0,53,1
173,5,0,49,3
174,4,0,28,5
175,10,0,68,2
177,19,0,24,0
178,10,0,14,0
179,25,0,36,2
183,13,0,48,0
187,14,0,116,1
188,2,0,138,0
189,19,0,65,0
190,0,0,50,0
193,4,0,15,0
